Coverage	Frequency	Reads
1	881486	881486
2	336115	1553716
3	133946	1955554
4	56614	2182010
5	27344	2318730
6	16043	2414988
7	11123	2492849
8	8495	2560809
9	7134	2625015
10	6196	2686975
11	5711	2749796
12	5100	2810996
13	4790	2873266
14	4503	2936308
15	4150	2998558
16	3991	3062414
17	3705	3125399
18	3517	3188705
19	3225	3249980
20	3167	3313320
21	2948	3375228
22	2909	3439226
23	2737	3502177
24	2580	3564097
25	2512	3626897
26	2360	3688257
27	2237	3748656
28	2163	3809220
29	2118	3870642
30	1998	3930582
31	1949	3991001
32	1895	4051641
33	1712	4108137
34	1643	4163999
35	1552	4218319
36	1401	4268755
37	1314	4317373
38	1318	4367457
39	1207	4414530
40	1029	4455690
41	1093	4500503
42	961	4540865
43	990	4583435
44	900	4623035
45	862	4661825
46	801	4698671
47	744	4733639
48	734	4768871
49	668	4801603
50	672	4835203
51	642	4867945
52	614	4899873
53	524	4927645
54	510	4955185
55	526	4984115
56	490	5011555
57	447	5037034
58	476	5064642
59	423	5089599
60	447	5116419
61	403	5141002
62	377	5164376
63	404	5189828
64	409	5216004
65	397	5241809
66	375	5266559
67	399	5293292
68	348	5316956
69	364	5342072
70	346	5366292
71	344	5390716
72	369	5417284
73	326	5441082
74	373	5468684
75	334	5493734
76	370	5521854
77	347	5548573
78	375	5577823
79	367	5606816
80	337	5633776
81	368	5663584
82	398	5696220
83	385	5728175
84	397	5761523
85	373	5793228
86	408	5828316
87	371	5860593
88	396	5895441
89	388	5929973
90	412	5967053
91	445	6007548
92	435	6047568
93	445	6088953
94	445	6130783
95	417	6170398
96	439	6212542
97	431	6254349
98	399	6293451
99	444	6337407
100	459	6383307
101	419	6425626
102	452	6471730
103	483	6521479
104	488	6572231
105	490	6623681
106	482	6674773
107	485	6726668
108	486	6779156
109	490	6832566
110	501	6887676
111	503	6943509
112	497	6999173
113	534	7059515
114	520	7118795
115	546	7181585
116	550	7245385
117	530	7307395
118	577	7375481
119	550	7440931
120	602	7513171
121	527	7576938
122	526	7641110
123	546	7708268
124	584	7780684
125	601	7855809
126	623	7934307
127	600	8010507
128	597	8086923
129	617	8166516
130	681	8255046
131	617	8335873
132	638	8420089
133	645	8505874
134	646	8592438
135	630	8677488
136	683	8770376
137	668	8861892
138	651	8951730
139	693	9048057
140	642	9137937
141	701	9236778
142	689	9334616
143	708	9435860
144	713	9538532
145	679	9636987
146	760	9747947
147	747	9857756
148	732	9966092
149	722	10073670
150	772	10189470
151	711	10296831
152	784	10415999
153	755	10531514
154	792	10653482
155	795	10776707
156	766	10896203
157	768	11016779
158	862	11152975
159	834	11285581
160	767	11408301
161	804	11537745
162	813	11669451
163	832	11805067
164	833	11941679
165	804	12074339
166	888	12221747
167	811	12357184
168	885	12505864
169	911	12659823
170	856	12805343
171	856	12951719
172	847	13097403
173	912	13255179
174	914	13414215
175	951	13580640
176	895	13738160
177	892	13896044
178	925	14060694
179	971	14234503
180	938	14403343
181	909	14567872
182	983	14746778
183	949	14920445
184	894	15084941
185	938	15258471
186	1024	15448935
187	994	15634813
188	1025	15827513
189	986	16013867
190	982	16200447
191	1060	16402907
192	1034	16601435
193	1008	16795979
194	1073	17004141
195	1049	17208696
196	1056	17415672
197	1065	17625477
198	1050	17833377
199	1119	18056058
200	1056	18267258
201	1088	18485946
202	1071	18702288
203	1083	18922137
204	1119	19150413
205	1149	19385958
206	1126	19617914
207	1119	19849547
208	1148	20088331
209	1157	20330144
210	1132	20567864
211	1084	20796588
212	1172	21045052
213	1188	21298096
214	1204	21555752
215	1180	21809452
216	1157	22059364
217	1243	22329095
218	1182	22586771
219	1177	22844534
220	1249	23119314
221	1225	23390039
222	1154	23646227
223	1171	23907360
224	1189	24173696
225	1212	24446396
226	1269	24733190
227	1289	25025793
228	1209	25301445
229	1271	25592504
230	1320	25896104
231	1279	26191553
232	1283	26489209
233	1267	26784420
234	1341	27098214
235	1306	27405124
236	1316	27715700
237	1283	28019771
238	1348	28340595
239	1320	28656075
240	1320	28972875
241	1258	29276053
242	1364	29606141
243	1357	29935892
244	1424	30283348
245	1359	30616303
246	1338	30945451
247	1312	31269515
248	1354	31605307
249	1277	31923280
250	1307	32250030
251	1396	32600426
252	1413	32956502
253	1398	33310196
254	1381	33660970
255	1405	34019245
256	1350	34364845
257	1436	34733897
258	1442	35105933
259	1429	35476044
260	1397	35839264
261	1377	36198661
262	1428	36572797
263	1453	36954936
264	1428	37331928
265	1419	37707963
266	1434	38089407
267	1508	38492043
268	1487	38890559
269	1485	39290024
270	1501	39695294
271	1473	40094477
272	1483	40497853
273	1479	40901620
274	1518	41317552
275	1513	41733627
276	1471	42139623
277	1506	42556785
278	1572	42993801
279	1407	43386354
280	1434	43787874
281	1493	44207407
282	1539	44641405
283	1498	45065339
284	1529	45499575
285	1568	45946455
286	1552	46390327
287	1516	46825419
288	1518	47262603
289	1504	47697259
290	1563	48150529
291	1581	48610600
292	1654	49093568
293	1536	49543616
294	1573	50006078
295	1627	50486043
296	1593	50957571
297	1603	51433662
298	1585	51905992
299	1590	52381402
300	1595	52859902
301	1588	53337890
302	1657	53838304
303	1589	54319771
304	1646	54820155
305	1613	55312120
306	1575	55794070
307	1568	56275446
308	1558	56755310
309	1578	57242912
310	1595	57737362
311	1603	58235895
312	1650	58750695
313	1632	59261511
314	1602	59764539
315	1703	60300984
316	1674	60829968
317	1685	61364113
318	1650	61888813
319	1600	62399213
320	1674	62934893
321	1681	63474494
322	1658	64008370
323	1696	64556178
324	1710	65110218
325	1701	65663043
326	1694	66215287
327	1634	66749605
328	1684	67301957
329	1675	67853032
330	1659	68400502
331	1729	68972801
332	1732	69547825
333	1617	70086286
334	1719	70660432
335	1653	71214187
336	1668	71774635
337	1790	72377865
338	1644	72933537
339	1668	73498989
340	1631	74053529
341	1711	74636980
342	1733	75229666
343	1722	75820312
344	1729	76415088
345	1742	77016078
346	1688	77600126
347	1725	78198701
348	1729	78800393
349	1731	79404512
350	1709	80002662
351	1691	80596203
352	1674	81185451
353	1680	81778491
354	1724	82388787
355	1767	83016072
356	1630	83596352
357	1756	84223244
358	1746	84848312
359	1827	85504205
360	1723	86124485
361	1684	86732409
362	1726	87357221
363	1754	87993923
364	1753	88632015
365	1718	89259085
366	1751	89899951
367	1669	90512474
368	1673	91128138
369	1692	91752486
370	1750	92399986
371	1771	93057027
372	1727	93699471
373	1668	94321635
374	1798	94994087
375	1747	95649212
376	1687	96283524
377	1680	96916884
378	1666	97546632
379	1699	98190553
380	1751	98855933
381	1737	99517730
382	1733	100179736
383	1673	100820495
384	1693	101470607
385	1703	102126262
386	1715	102788252
387	1707	103448861
388	1671	104097209
389	1865	104822694
390	1721	105493884
391	1730	106170314
392	1690	106832794
393	1669	107488711
394	1738	108173483
395	1751	108865128
396	1674	109528032
397	1713	110208093
398	1687	110879519
399	1700	111557819
400	1700	112237819
401	1730	112931549
402	1673	113604095
403	1759	114312972
404	1740	115015932
405	1662	115689042
406	1708	116382490
407	1718	117081716
408	1645	117752876
409	1685	118442041
410	1658	119121821
411	1762	119846003
412	1694	120543931
413	1700	121246031
414	1657	121932029
415	1665	122623004
416	1591	123284860
417	1658	123976246
418	1654	124667618
419	1702	125380756
420	1613	126058216
421	1610	126736026
422	1619	127419244
423	1697	128137075
424	1617	128822683
425	1641	129520108
426	1600	130201708
427	1641	130902415
428	1576	131576943
429	1646	132283077
430	1655	132994727
431	1679	133718376
432	1627	134421240
433	1553	135093689
434	1545	135764219
435	1609	136464134
436	1642	137180046
437	1577	137869195
438	1615	138576565
439	1572	139266673
440	1647	139991353
441	1613	140702686
442	1588	141404582
443	1620	142122242
444	1569	142818878
445	1555	143510853
446	1514	144186097
447	1571	144888334
448	1518	145568398
449	1504	146243694
450	1521	146928144
451	1582	147641626
452	1529	148332734
453	1453	148990943
454	1515	149678753
455	1514	150367623
456	1515	151058463
457	1491	151739850
458	1491	152422728
459	1458	153091950
460	1474	153769990
461	1489	154456419
462	1480	155140179
463	1497	155833290
464	1531	156543674
465	1502	157242104
466	1502	157942036
467	1448	158618252
468	1468	159305276
469	1444	159982512
470	1362	160622652
471	1437	161299479
472	1449	161983407
473	1409	162649864
474	1447	163335742
475	1353	163978417
476	1481	164683373
477	1408	165354989
478	1325	165988339
479	1389	166653670
480	1367	167309830
481	1354	167961104
482	1342	168607948
483	1354	169261930
484	1338	169909522
485	1334	170556512
486	1349	171212126
487	1273	171832077
488	1330	172481117
489	1322	173127575
490	1318	173773395
491	1266	174395001
492	1303	175036077
493	1304	175678949
494	1286	176314233
495	1285	176950308
496	1320	177605028
497	1299	178250631
498	1274	178885083
499	1248	179507835
500	1197	180106335
501	1266	180740601
502	1227	181356555
503	1270	181995365
504	1247	182623853
505	1249	183254598
506	1227	183875460
507	1189	184478283
508	1176	185075691
509	1213	185693108
510	1160	186284708
511	1131	186862649
512	1165	187459129
513	1121	188034202
514	1165	188633012
515	1189	189245347
516	1119	189822751
517	1168	190426607
518	1090	190991227
519	1153	191589634
520	1165	192195434
521	1116	192776870
522	1104	193353158
523	1112	193934734
524	1098	194510086
525	1112	195093886
526	1103	195674064
527	1028	196215820
528	1043	196766524
529	1044	197318800
530	1012	197855160
531	1013	198393063
532	987	198918147
533	992	199446883
534	991	199976077
535	1079	200553342
536	1021	201100598
537	991	201632765
538	960	202149245
539	1008	202692557
540	968	203215277
541	933	203720030
542	978	204250106
543	991	204788219
544	963	205312091
545	956	205833111
546	939	206345805
547	1032	206910309
548	933	207421593
549	965	207951378
550	908	208450778
551	913	208953841
552	924	209463889
553	917	209970990
554	869	210452416
555	899	210951361
556	897	211450093
557	838	211916859
558	890	212413479
559	837	212881362
560	855	213360162
561	836	213829158
562	856	214310230
563	789	214754437
564	806	215209021
565	761	215638986
566	799	216091220
567	811	216551057
568	761	216983305
569	782	217428263
