#Num.Samples	Num.Sites	Accumulated
47	2	2
46	111	113
45	1269	1382
44	6239	7621
43	17222	24843
42	32543	57386
41	45925	103311
40	54350	157661
39	56929	214590
38	54888	269478
37	49299	318777
36	43980	362757
35	38146	400903
34	32597	433500
33	27923	461423
32	24054	485477
31	20741	506218
30	17910	524128
29	15469	539597
28	13471	553068
27	12562	565630
26	11067	576697
25	10022	586719
24	8979	595698
23	8131	603829
22	7374	611203
21	6801	618004
20	6510	624514
19	5781	630295
18	5408	635703
17	5709	641412
16	5713	647125
15	5283	652408
14	4075	656483
13	2690	659173
12	1520	660693
11	817	661510
10	422	661932
9	210	662142
8	118	662260
7	113	662373
6	74	662447
5	33	662480
4	23	662503
3	20	662523
2	62	662585
1	65	662650
0	5	662655
