Sample	Mapped
Er26_JUG4	1725007
Er27_SK32	2669420
Er28_112	2888378
Er29_122	4251540
Er30_79	5841129
Er31_453	5640650
Er32_183	3895320
Er33_211	961390
Er34_197	1895719
Er35_209	1219805
Er36_SK24	342000
Er37_SK27	3228349
Er38_LB1	1633969
Er39_PL1	6082408
Er40_M2	3312373
Er41_GR36	5147315
Er42_GR35	4037442
Er43_SL7	3571848
Er44_VOJ1	3086028
Er45_BLG3	2906306
Er46_RMN7	2538423
Er47_CR4	3819813
Er48_BH16	3615271
Er49_GR38	3805996
Er50_R3	1439215
Er51_436	8618324
Er52_451	3078454
Er53_ASR7	5323027
Er54_AU1	6308680
Er55_AU7	4500312
Er56_AZ5	6305370
Er57_COR4	1956565
Er58_FI7	1545849
Er59_FR1	40436
Er60_GR5	2359077
Er61_GR87	262482
Er62_GR95	151180
Er63_IR6	5076126
Er64_IS1	3020923
Er65_IS25	1885387
Er66_IT3	6657011
Er67_IT5	1505114
Er68_PRT1B	56625
Er69_R2	4373695
Er70_RMN42	4760664
Er71_SAR2	5314079
Er72_SIE1B	2709170
Er73_SNG1	764470
Er74_SP16	4869652
Er75_TRC2A	2293090
