            hetero_est  error_est
Er26_JUG4     0.023784   0.006938
Er27_SK32     0.012861   0.004500
Er28_112      0.013891   0.004664
Er29_122      0.008318   0.003797
Er30_79       0.007345   0.003952
Er31_453      0.007927   0.003952
Er32_183      0.009465   0.003808
Er33_211      0.009342   0.004167
Er34_197      0.009143   0.003801
Er35_209      0.013630   0.004690
Er36_SK24     0.020002   0.006334
Er37_SK27     0.013706   0.004281
Er38_LB1      0.013444   0.004684
Er39_PL1      0.008749   0.003975
Er40_M2       0.013793   0.004911
Er41_GR36     0.009514   0.004044
Er42_GR35     0.009645   0.003894
Er43_SL7      0.010073   0.003745
Er44_VOJ1     0.010337   0.003802
Er45_BLG3     0.013258   0.004382
Er46_RMN7     0.012701   0.004160
Er47_CR4      0.009619   0.003823
Er48_BH16     0.011202   0.004195
Er49_GR38     0.012270   0.004817
Er50_R3       0.013408   0.004509
Er51_436      0.008095   0.006441
Er52_451      0.014340   0.007126
Er53_ASR7     0.012647   0.007434
Er54_AU1      0.009268   0.006584
Er55_AU7      0.015360   0.008698
Er56_AZ5      0.012471   0.010331
Er57_COR4     0.047640   0.016215
Er58_FI7      0.020202   0.006660
Er59_FR1      0.048775   0.008543
Er60_GR5      0.014826   0.006640
Er61_GR87     0.093032   0.009530
Er62_GR95     0.071761   0.005025
Er63_IR6      0.009931   0.007039
Er64_IS1      0.016418   0.007570
Er65_IS25     0.025632   0.010513
Er66_IT3      0.011578   0.007734
Er67_IT5      0.035065   0.012224
Er68_PRT1B    0.019709   0.003415
Er69_R2       0.012507   0.007121
Er70_RMN42    0.013115   0.007414
Er71_SAR2     0.016993   0.012682
Er72_SIE1B    0.028484   0.013582
Er73_SNG1     0.037976   0.015382
Er74_SP16     0.010855   0.007442
Er75_TRC2A    0.019627   0.007492
