           clusters_total filtered_by_depth filtered_by_maxH filtered_by_maxN reads_consens   nsites nhetero heterozygosity
Er26_JUG4         1007549            776943             6738            25159        198709 17961861   57912        0.00322
Er27_SK32         1114295            739997             6069            19194        349035 31606446   84385        0.00267
Er28_112          1176745            761458             7976            22834        384477 34829038   96410        0.00277
Er29_122          1213112            698837             5979            18769        489527 44372216   73683        0.00166
Er30_79           1291112            597196             8350            23268        662298 60084967   93458        0.00156
Er31_453          1298747            607585             8395            24611        658156 59719470  107745        0.00180
Er32_183          1171445            615516             8192            18899        528838 47980565  112517        0.00235
Er33_211           598174            544987              397             1853         50937  4599888    5475        0.00119
Er34_197           895235            732398             1483             5917        155437 14054898   19052        0.00136
Er35_209           781847            671061             1399             5443        103944  9386470   19522        0.00208
Er36_SK24          333933            318192              239              926         14576  1317066    2704        0.00205
Er37_SK27         1188422            776123             6661            20354        385284 34893557  111475        0.00319
Er38_LB1           908964            735091             2245             9336        162292 14670920   32780        0.00223
Er39_PL1          1293612            494087            12797            23666        763062 69347682  180015        0.00260
Er40_M2           1246288            754407            10434            27501        453946 41136761  114429        0.00278
Er41_GR36         1281935            536400            12662            25973        706900 64190562  159752        0.00249
Er42_GR35         1217016            624987             9156            20627        562246 51006479  120264        0.00236
Er43_SL7          1161654            664813             7313            17562        471966 42801369  101833        0.00238
Er44_VOJ1         1126978            705505             6009            16066        399398 36195863   82334        0.00227
Er45_BLG3         1130906            725222             7280            21025        377379 34183238   90203        0.00264
Er46_RMN7         1110798            779142             5168            15477        311011 28165676   70268        0.00249
Er47_CR4          1169934            634497             7572            18730        509135 46177020  110810        0.00240
Er48_BH16         1218021            693977             8729            21551        493764 44765660  114629        0.00256
Er49_GR38         1467092            910738            10104            25987        520263 47139657  124838        0.00265
Er50_R3            862825            723540             1728             6776        130781 11828798   27411        0.00232
Er51_436          1367068            444737            21545            47026        853760 97992427  173508        0.00177
Er52_451          1169384            813811             9817            36421        309335 35274935   56911        0.00161
Er53_ASR7         1415067            615308            28152            59847        711760 81568656  203305        0.00249
Er54_AU1          1387870            558926            20471            56429        752044 86129065  138732        0.00161
Er55_AU7          1404383            646281            29131            75473        653498 74809790  171784        0.00230
Er56_AZ5          1570820            697096            27292           105270        741162 84767076  138407        0.00163
Er57_COR4         1281236           1079701            10825            65184        125526 14128679   36510        0.00258
Er58_FI7           931984            830334             2605            11546         87499  9932261   17951        0.00181
Er59_FR1           214087            193207             3201             2953         14726  1685762   17286        0.01025
Er60_GR5          1150846            832005             9497            28637        280707 32002130   63482        0.00198
Er61_GR87          424363            417642              547             1892          4282   482390    1667        0.00346
Er62_GR95          235685            232644              244              586          2211   246670    1070        0.00434
Er63_IR6          1324066            674657            15664            55562        578183 66064710   86935        0.00132
Er64_IS1          1225575            830080            13273            42141        340081 38837245   81847        0.00211
Er65_IS25         1381202            512255            84755            64808        719384 82678270  257073        0.00311
Er66_IT3          1416937            488317            33025            62681        832914 95586661  223436        0.00234
Er67_IT5          1048125            941678             3704            25466         77277  8732570   21313        0.00244
Er68_PRT1B         178019            165081              772             1614         10552  1209016    8197        0.00678
Er69_R2           1325019            645064            22467            53669        603819 69093283  136131        0.00197
Er70_RMN42        1357643            599190            26826            61823        669804 76672628  167600        0.00219
Er71_SAR2         1645664            828423            32273           132060        652908 74556499  140635        0.00189
Er72_SIE1B        1337256            964871            17174            85767        269444 30553003   63889        0.00209
Er73_SNG1         1266803            820367            53878            59004        333554 38090762  147865        0.00388
Er74_SP16         1646864           1034067            14765            55256        542776 61992118   90880        0.00147
Er75_TRC2A        1162767            865677            10697            34165        252228 28734646   64843        0.00226
