            reads_raw  trim_adapter_bp_read1  trim_quality_bp_read1  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
Er26_JUG4     3785663                      0                      0                     0                       185              3785478
Er27_SK32     5157431                      0                      0                     0                       323              5157108
Er28_112      5679093                      0                      0                     0                      1825              5677268
Er29_122      6415491                      0                      0                     0                       319              6415172
Er30_79       8724190                      0                      0                     0                       426              8723764
Er31_453      8684657                      0                      0                     0                       445              8684212
Er32_183      7305107                      0                      0                     0                       387              7304720
Er33_211      1436393                      0                      0                     0                        87              1436306
Er34_197      2862896                      0                      0                     0                       157              2862739
Er35_209      2305654                      0                      0                     0                       127              2305527
Er36_SK24      717180                      0                      0                     0                        45               717135
Er37_SK27     5548998                      0                      0                     0                       329              5548669
Er38_LB1      3042271                      0                      0                     0                       232              3042039
Er39_PL1     11415380                      0                      0                     0                       541             11414839
Er40_M2       6625385                      0                      0                     0                       332              6625053
Er41_GR36     9838133                      0                      0                     0                       486              9837647
Er42_GR35     7646403                      0                      0                     0                       468              7645935
Er43_SL7      6567540                      0                      0                     0                       318              6567222
Er44_VOJ1     5560277                      0                      0                     0                       305              5559972
Er45_BLG3     5583591                      0                      0                     0                       272              5583319
Er46_RMN7     4779951                      0                      0                     0                       267              4779684
Er47_CR4      7099905                      0                      0                     0                       361              7099544
Er48_BH16     6960517                      0                      0                     0                       345              6960172
Er49_GR38     7578843                      0                      0                     0                       395              7578448
Er50_R3       2712082                      0                      0                     0                       165              2711917
Er51_436     13082012                      0                      0                 22428                         0             13059584
Er52_451      5230106                      0                      0                  8833                         0              5221273
Er53_ASR7    10340838                      0                      0                 17430                         0             10323408
Er54_AU1     10016103                      0                      0                 16646                         0              9999457
Er55_AU7      9310141                      0                      0                 15737                         0              9294404
Er56_AZ5     10557543                      0                      0                 18056                         0             10539487
Er57_COR4     4454047                      0                      0                  7666                         0              4446381
Er58_FI7      2923592                      0                      0                  4806                         0              2918786
Er59_FR1      1148525                      0                      0                  1846                         0              1146679
Er60_GR5      4928372                      0                      0                  8293                         0              4920079
Er61_GR87     1248590                      0                      0                  2005                         0              1246585
Er62_GR95      791239                      0                      0                  1282                         0               789957
Er63_IR6      7667553                      0                      0                 12928                         0              7654625
Er64_IS1      6234246                      0                      0                 10665                         0              6223581
Er65_IS25    14805528                      0                      0                 25311                         0             14780217
Er66_IT3     13073323                      0                      0                 21909                         0             13051414
Er67_IT5      2942941                      0                      0                  4905                         0              2938036
Er68_PRT1B    3062354                      0                      0                  4735                         0              3057619
Er69_R2       8530387                      0                      0                 14090                         0              8516297
Er70_RMN42    9447396                      0                      0                 15869                         0              9431527
Er71_SAR2     9932561                      0                      0                 16476                         0              9916085
Er72_SIE1B    5614740                      0                      0                  9462                         0              5605278
Er73_SNG1     7745837                      0                      0                 12732                         0              7733105
Er74_SP16     7921284                      0                      0                 13254                         0              7908030
Er75_TRC2A    4891758                      0                      0                  8185                         0              4883573
