#withData	Frequency_before	Frequency_after
1	183858	730893
2	34616	488080
3	10495	240791
4	7196	148020
5	7621	126948
6	7292	124360
7	7680	128462
8	8437	135453
9	10027	145185
10	11785	155584
11	14400	168794
12	17984	183253
13	22371	198978
14	26957	216177
15	30539	233499
16	31565	250351
17	30239	267255
18	29212	283377
19	29200	291046
20	29899	297666
21	30099	306408
22	30893	318894
23	31698	333483
24	33844	347162
25	36878	362546
26	40030	380434
27	43979	400784
28	47256	427878
29	52522	459795
30	57963	490334
31	64917	520278
32	74372	551246
33	85051	582781
34	95568	615315
35	108881	647655
36	122663	673603
37	136758	692401
38	149801	702410
39	159057	704133
40	156719	704551
41	143119	719832
42	115383	774263
43	79164	887359
44	44800	1041576
45	20193	1114606
46	6574	909417
47	1769	443146
48	663	111297
49	218	13743
50	127	1324
