# Sample: sample name
# R1_2016:  Number of demultiplexed first reads in fastq files in 2016.
# R2_2016:  Number of demultiplexed second reads in fastq files in 2016.
# RL_2016:  Number of demultiplexed read pairs, according to Sabre log files in 2016.
# R1_2018:  Number of demultiplexed first reads in fastq files from 2018.
# R2_2018:  Number of demultiplexed second reads in fastq files from 2018.
# RL_2018:  Number of demultiplexed read pairs, according to Sabre log files in 2018.
# M1_2016:  Number of first reads mapped in bam files from 2016.
# ML_2016:  Number of read pairs mapped, according to bowtie2 log files, in 2016.
# M1_2018:  Number of first reads mapped in bam files from 2018.
# ML_2018:  Number of read pairs mapped, according to bowtie2 log files, in 2018.
# MM_2018:  Number of first reads mapped in merged bam files.
# MS_2018:  Number of first reads mapped in merged and sorted bam files.
# MN_2018:  Number of first reads mapped to nuclear contigs in merged and sorted bam files.
Sample	R1_2016	R2_2016	RL_2016	R1_2018	R2_2018	RL_2018	M1_2016	ML_2016	M1_2018	ML_2018	MM_2018	MS_2018	MN_2018
Er26_JUG4	3785663	3785663	3785663	4061568	4061568	4061568	2617875	2617875	2520412	2520412	5138287	5138287	5137731
Er27_SK32	5157431	5157431	5157431	4325815	4325815	4325815	3887769	3887769	3044787	3044787	6932556	6932556	6932296
Er28_112	5679093	5679093	5679093	4456845	4456845	4456845	4203831	4203831	3046498	3046498	7250329	7250329	7249964
Er29_122	6415491	6415491	6415491	4367530	4367530	4367530	5143602	5143602	2962757	2962757	8106359	8106359	8106301
Er30_79	8724190	8724190	8724190	8271042	8271042	8271042	6884364	6884364	6112989	6112989	12997353	12997353	12997263
Er31_453	8684657	8684657	8684657	8780834	8780834	8780834	6833246	6833246	6891437	6891437	13724683	13724683	13724410
Er32_183	7305107	7305107	7305107	5654513	5654513	5654513	5621985	5621985	3254990	3254990	8876975	8876975	8876693
Er33_211	1436393	1436393	1436393	5856089	5856089	5856089	1153223	1153223	4365496	4365496	5518719	5518719	5518676
Er34_197	2862896	2862896	2862896	6621532	6621532	6621532	2283856	2283856	4951374	4951374	7235230	7235230	7235195
Er35_209	2305654	2305654	2305654	4699719	4699719	4699719	1754032	1754032	2973272	2973272	4727304	4727304	4726786
Er36_SK24	717180	717180	717180	4272897	4272897	4272897	502645	502645	2851190	2851190	3353835	3353835	3353788
Er37_SK27	5548998	5548998	5548998	5516539	5516539	5516539	4384001	4384001	3820568	3820568	8204569	8204569	8204464
Er38_LB1	3042271	3042271	3042271	2807206	2807206	2807206	2346442	2346442	1661788	1661788	4008230	4008230	4007403
Er39_PL1	11415380	11415380	11415380	2278143	2278143	2278143	8780089	8780089	1262512	1262512	10042601	10042601	10040929
Er40_M2	6625385	6625385	6625385	6387801	6387801	6387801	4872170	4872170	4316964	4316964	9189134	9189134	9189022
Er41_GR36	9838133	9838133	9838133	6086798	6086798	6086798	7531615	7531615	4225133	4225133	11756748	11756748	11756547
Er42_GR35	7646403	7646403	7646403	4606766	4606766	4606766	5887172	5887172	3307151	3307151	9194323	9194323	9191998
Er43_SL7	6567540	6567540	6567540	5247967	5247967	5247967	5127715	5127715	3664264	3664264	8791979	8791979	8791469
Er44_VOJ1	5560277	5560277	5560277	5558258	5558258	5558258	4388166	4388166	4099592	4099592	8487758	8487758	8487647
Er45_BLG3	5583591	5583591	5583591	5236974	5236974	5236974	4254977	4254977	3863337	3863337	8118314	8118314	8117737
Er46_RMN7	4779951	4779951	4779951	561696	561696	561696	3681289	3681289	29978	29978	3711267	3711267	3711203
Er47_CR4	7099905	7099905	7099905	4554840	4554840	4554840	5528053	5528053	3077948	3077948	8606001	8606001	8599960
Er48_BH16	6960517	6960517	6960517	6653613	6653613	6653613	5301798	5301798	4963956	4963956	10265754	10265754	10265279
Er49_GR38	7578843	7578843	7578843	4472257	4472257	4472257	5579072	5579072	3290606	3290606	8869678	8869678	8853227
Er50_R3	2712082	2712082	2712082	4562966	4562966	4562966	2082471	2082471	3370823	3370823	5453294	5453294	5449731
Er51_436	13082012	13082012	13082012	6795280	6795280	6795280	10377477	10377477	5442559	5442559	15820036	15820036	15819368
Er52_451	5230106	5230106	5230106	3164512	3164512	3164512	3770549	3770549	2132064	2132064	5902613	5902613	5902522
Er53_ASR7	10340838	10340838	10340838	5451523	5451523	5451523	7653275	7653275	4019681	4019681	11672956	11672956	11670636
Er54_AU1	10016103	10016103	10016103	5182440	5182440	5182440	7735348	7735348	4065412	4065412	11800760	11800760	11800547
Er55_AU7	9310141	9310141	9310141	5117821	5117821	5117821	6538532	6538532	3568129	3568129	10106661	10106661	10105851
Er56_AZ5	10557543	10557543	10557543	5368491	5368491	5368491	7506001	7506001	3826709	3826709	11332710	11332710	11332503
Er57_COR4	4454047	4454047	4454047	2311668	2311668	2311668	2427972	2427972	1119117	1119117	3547089	3547089	3547039
Er58_FI7	2923592	2923592	2923592	1763604	1763604	1763604	1910193	1910193	954240	954240	2864433	2864433	2864304
