            hetero_est  error_est
Er26_JUG4     0.020850   0.005649
Er27_SK32     0.013670   0.004063
Er28_112      0.013795   0.004073
Er29_122      0.009592   0.003543
Er30_79       0.008369   0.003602
Er31_453      0.008603   0.003399
Er32_183      0.012265   0.003643
Er33_211      0.010363   0.003168
Er34_197      0.009836   0.002965
Er35_209      0.015751   0.004202
Er36_SK24     0.026327   0.004916
Er37_SK27     0.016054   0.003892
Er38_LB1      0.017629   0.004670
Er39_PL1      0.011316   0.004044
Er40_M2       0.013855   0.004027
Er41_GR36     0.011829   0.003723
Er42_GR35     0.011809   0.003599
Er43_SL7      0.012735   0.003601
Er44_VOJ1     0.012187   0.003497
Er45_BLG3     0.014287   0.003988
Er46_RMN7     0.012757   0.003752
Er47_CR4      0.012345   0.003668
Er48_BH16     0.012553   0.003655
Er49_GR38     0.013214   0.004134
Er50_R3       0.014963   0.003847
Er51_436      0.007200   0.005196
Er52_451      0.010216   0.005550
Er53_ASR7     0.010301   0.005835
Er54_AU1      0.007572   0.005266
Er55_AU7      0.010410   0.006666
Er56_AZ5      0.007880   0.007434
Er57_COR4     0.024494   0.011674
Er58_FI7      0.016383   0.005792
Er59_FR1      0.032436   0.016989
Er60_GR5      0.011872   0.005317
Er61_GR87     0.036842   0.009222
Er62_GR95     0.024961   0.008424
Er63_IR6      0.007198   0.005699
Er64_IS1      0.013220   0.005984
Er65_IS25     0.016884   0.006755
Er66_IT3      0.009636   0.005931
Er67_IT5      0.022878   0.009222
Er68_PRT1B    0.024047   0.012304
Er69_R2       0.009788   0.005778
Er70_RMN42    0.009958   0.005874
Er71_SAR2     0.008712   0.008420
Er72_SIE1B    0.016073   0.010125
Er73_SNG1     0.023577   0.009916
Er74_SP16     0.007818   0.005906
Er75_TRC2A    0.014104   0.006019
