           clusters_total filtered_by_depth filtered_by_maxH filtered_by_maxN reads_consens    nsites nhetero heterozygosity
Er26_JUG4         1206211            723219            12722            41245        429025  48755029  111170        0.00228
Er27_SK32         1251007            564974            14220            33744        638069  72608775  145232        0.00200
Er28_112          1278665            560718            15300            35182        667465  75839380  156093        0.00206
Er29_122          1301329            515645            10144            30275        745265  84479534  116130        0.00137
Er30_79           1415766            366588            20447            33990        994741 114208493  150347        0.00132
Er31_453          1366083            298810            21895            32153       1013225 116596298  198200        0.00170
Er32_183          1276755            472729            16486            31296        756244  85835979  169755        0.00198
Er33_211          1253669            714450             9569            20896        508754  58629906   79420        0.00135
Er34_197          1307234            579683            13472            25673        688406  79287356  109826        0.00139
Er35_209          1201547            762073             9436            26988        403050  46230570   85001        0.00184
Er36_SK24         1153455            925002             8033            17662        202758  23395237   66661        0.00285
Er37_SK27         1340626            556072            16898            38882        728774  83279889  265188        0.00318
Er38_LB1          1152508            814283             5022            22692        310511  34741702   65507        0.00189
Er39_PL1          1334503            492016            12841            24938        804708  85358258  190302        0.00223
Er40_M2           1347839            496161            23184            39032        789462  90257781  196768        0.00218
Er41_GR36         1310564            349692            22665            33006        905201 102889042  217256        0.00211
Er42_GR35         1284199            445371            15761            31108        791959  89656406  171203        0.00191
Er43_SL7          1296242            487195            17798            33059        758190  86438449  177983        0.00206
Er44_VOJ1         1286051            488846            17935            31653        747617  85468678  170413        0.00199
Er45_BLG3         1286171            494551            19714            39443        732463  83918585  180546        0.00215
Er46_RMN7         1083019            759892             4449            10736        307942  28361022   67744        0.00239
Er47_CR4          1267631            485996            14949            31147        735539  83344914  172076        0.00206
Er48_BH16         1335468            421355            23916            35067        855130  97902077  218206        0.00223
Er49_GR38         1415654            588967            17600            36832        772255  87748705  189397        0.00216
Er50_R3           1244448            714531            12275            27910        489732  56235523  104122        0.00185
Er51_436          1306455            275445            22595            25347        983068 113780936  205065        0.00180
Er52_451          1215092            637805            13567            30096        533624  61623609   98745        0.00160
Er53_ASR7         1290581            342921            29314            32951        885395 102435463  265180        0.00259
Er54_AU1          1328528            321440            22093            31056        953939 110280975  182390        0.00165
Er55_AU7          1308280            360698            29604            42401        875577 101465970  220308        0.00217
Er56_AZ5          1461283            486932            22373            50865        901113 104687975  150235        0.00144
Er57_COR4         1227026            953770             8812            42431        222013  25810596   52321        0.00203
Er58_FI7          1067454            870414             4988            13477        178575  20628194   34582        0.00168
Er59_FR1           115238            114884               14               35           305     35527     180        0.00507
Er60_GR5          1167803            662272            14064            24282        467185  54021246  100516        0.00186
Er61_GR87          504543            496605              181             1272          6485    754799    1997        0.00265
Er62_GR95          290234            288702               33              145          1354    158283     749        0.00473
Er63_IR6          1303800            429068            17894            36785        820053  94767792  117897        0.00124
Er64_IS1          1256825            708006            16574            32645        499600  57797166  124411        0.00215
Er65_IS25         1234667            355458            58463            30426        790320  91766810  218674        0.00238
Er66_IT3          1320148            293708            31492            31224        963724 111576992  252287        0.00226
Er67_IT5          1100867            926764             4427            20675        149001  17265899   37252        0.00216
Er68_PRT1B         134433            133972                9               58           394     46447     206        0.00444
Er69_R2           1297843            438934            24967            33890        800052  92685829  175431        0.00189
Er70_RMN42        1307590            370570            28476            35858        872686 100980719  212856        0.00211
Er71_SAR2         1509825            614602            22644            62593        809986  94182419  142285        0.00151
Er72_SIE1B        1270103            774051            15208            59315        421529  48931973   84439        0.00173
Er73_SNG1         1176209            600967            44718            40220        490304  56864846  164833        0.00290
Er74_SP16         1622141            804805            16623            36691        764022  88494548  125425        0.00142
Er75_TRC2A        1196678            703431            15388            29616        448243  51823130  116687        0.00225
