            reads_raw  trim_adapter_bp_read1  trim_quality_bp_read1  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
Er26_JUG4     4061568                      0                      0                   703                         0              4060865
Er27_SK32     4325815                      0                      0                   798                         0              4325017
Er28_112      4456845                      0                      0                   801                         0              4456044
Er29_122      4367530                      0                      0                   873                         0              4366657
Er30_79       8271042                      0                      0                  1537                         0              8269505
Er31_453      8780834                      0                      0                  1749                         0              8779085
Er32_183      5654513                      0                      0                  1112                         0              5653401
Er33_211      5856089                      0                      0                  1040                         0              5855049
Er34_197      6621532                      0                      0                  1303                         0              6620229
Er35_209      4699719                      0                      0                   866                         0              4698853
Er36_SK24     4272897                      0                      0                   796                         0              4272101
Er37_SK27     5516539                      0                      0                  1029                         0              5515510
Er38_LB1      2807206                      0                      0                   505                         0              2806701
Er39_PL1      2278143                      0                      0                   422                         0              2277721
Er40_M2       6387801                      0                      0                  1219                         0              6386582
Er41_GR36     6086798                      0                      0                  1304                         0              6085494
Er42_GR35     4606766                      0                      0                   844                         0              4605922
Er43_SL7      5247967                      0                      0                   981                         0              5246986
Er44_VOJ1     5558258                      0                      0                  1082                         0              5557176
Er45_BLG3     5236974                      0                      0                   916                         0              5236058
Er46_RMN7      561696                      0                      0                    66                         0               561630
Er47_CR4      4554840                      0                      0                   789                         0              4554051
Er48_BH16     6653613                      0                      0                  1331                         0              6652282
Er49_GR38     4472257                      0                      0                   795                         0              4471462
Er50_R3       4562966                      0                      0                   808                         0              4562158
Er51_436      6795280                      0                      0                  1247                         0              6794033
Er52_451      3164512                      0                      0                   557                         0              3163955
Er53_ASR7     5451523                      0                      0                  1063                         0              5450460
Er54_AU1      5182440                      0                      0                   961                         0              5181479
Er55_AU7      5117821                      0                      0                   891                         0              5116930
Er56_AZ5      5368491                      0                      0                  1002                         0              5367489
Er57_COR4     2311668                      0                      0                   430                         0              2311238
Er58_FI7      1763604                      0                      0                   278                         0              1763326
Er59_FR1       876351                      0                      0                   113                         0               876238
Er60_GR5      2772921                      0                      0                   509                         0              2772412
Er61_GR87     1023278                      0                      0                   140                         0              1023138
Er62_GR95      774691                      0                      0                   100                         0               774591
Er63_IR6      3925293                      0                      0                   654                         0              3924639
Er64_IS1      3356791                      0                      0                   664                         0              3356127
Er65_IS25     8086206                      0                      0                  1569                         0              8084637
Er66_IT3      7120373                      0                      0                  1285                         0              7119088
Er67_IT5      1412516                      0                      0                   272                         0              1412244
Er68_PRT1B    1617186                      0                      0                   206                         0              1616980
Er69_R2       4339732                      0                      0                   779                         0              4338953
Er70_RMN42    5029533                      0                      0                   905                         0              5028628
Er71_SAR2     4721143                      0                      0                   876                         0              4720267
Er72_SIE1B    2720616                      0                      0                   459                         0              2720157
Er73_SNG1     4455781                      0                      0                   794                         0              4454987
Er74_SP16     4389617                      0                      0                   774                         0              4388843
Er75_TRC2A    2985000                      0                      0                   506                         0              2984494
