#Number of loci probably contributed by each ancestry (log odds > 3.0)
#Sample	Anc.1	Anc.2	Anc.3	Anc.4
 Er46_RMN7	0	0	67223	0
 Er26_JUG4	0	0	67204	0
  Er35_209	0	0	67102	0
   Er50_R3	0	0	67091	0
  Er60_GR5	0	0	66985	0
 Er27_SK32	0	0	66962	0
 Er45_BLG3	0	0	66913	0
  Er55_AU7	0	0	66899	0
  Er28_112	0	0	66885	0
   Er40_M2	0	0	66828	0
  Er43_SL7	0	0	66827	0
Er70_RMN42	0	0	66815	0
 Er44_VOJ1	0	0	66799	0
 Er48_BH16	0	0	66798	0
  Er47_CR4	0	0	66790	0
  Er39_PL1	0	0	66771	0
  Er32_183	0	0	66730	0
  Er66_IT3	0	0	66715	0
   Er69_R2	0	0	66714	0
 Er42_GR35	0	0	66699	0
 Er41_GR36	0	0	66642	0
 Er37_SK27	2033	0	66026	0
  Er33_211	59409	0	0	0
  Er52_451	58389	0	0	0
  Er34_197	57092	0	0	0
 Er71_SAR2	56669	0	0	0
  Er29_122	56585	0	0	0
  Er54_AU1	55762	0	0	0
  Er31_453	55561	0	0	0
  Er51_436	55468	0	0	0
Er72_SIE1B	3844	0	0	893
 Er74_SP16	0	0	0	55936
  Er63_IR6	0	0	0	55616
  Er56_AZ5	0	0	0	55214
   Er30_79	0	0	0	54915
  Er38_LB1	0	64390	0	0
  Er64_IS1	0	62993	0	0
Er75_TRC2A	0	62823	0	0
 Er49_GR38	0	61109	0	0
 Er53_ASR7	0	60598	0	0
