#Library	Total_reads	Duplicates	Percentage
Er26_JUG4_2016	2617875	192920	7.36934
Er26_JUG4_2018	2520412	14078	0.558559
Er27_SK32_2016	3887769	226939	5.83726
Er27_SK32_2018	3044787	19142	0.628681
Er28_112_2016	4203831	269099	6.40128
Er28_112_2018	3046498	18138	0.595372
Er29_122_2016	5143602	315508	6.13399
Er29_122_2018	2962757	16443	0.55499
Er30_79_2016	6884364	434748	6.31501
Er30_79_2018	6112989	36722	0.600721
Er31_453_2016	6833246	422682	6.18567
Er31_453_2018	6891437	45886	0.665841
Er32_183_2016	5621985	339267	6.03465
Er32_183_2018	3254990	20717	0.636469
Er33_211_2016	1153223	74521	6.46198
Er33_211_2018	4365496	27036	0.619311
Er34_197_2016	2283856	140000	6.12998
Er34_197_2018	4951374	30972	0.625523
Er35_209_2016	1754032	113597	6.47634
Er35_209_2018	2973272	19221	0.64646
Er36_SK24_2016	502645	39384	7.83535
Er36_SK24_2018	2851190	16354	0.573585
Er37_SK27_2016	4384001	278828	6.36013
Er37_SK27_2018	3820568	21921	0.573763
Er38_LB1_2016	2346442	130768	5.57303
Er38_LB1_2018	1661788	9009	0.542127
Er39_PL1_2016	8780089	530125	6.03781
Er39_PL1_2018	1262512	8264	0.654568
Er40_M2_2016	4872170	331671	6.80746
Er40_M2_2018	4316964	26013	0.602576
Er41_GR36_2016	7531615	445708	5.91783
Er41_GR36_2018	4225133	27757	0.65695
Er42_GR35_2016	5887172	331925	5.63811
Er42_GR35_2018	3307151	21257	0.642759
Er43_SL7_2016	5127715	312472	6.09379
Er43_SL7_2018	3664264	24967	0.681365
Er44_VOJ1_2016	4388166	270720	6.16932
Er44_VOJ1_2018	4099592	24257	0.591693
Er45_BLG3_2016	4254977	290857	6.83569
Er45_BLG3_2018	3863337	25656	0.664089
Er46_RMN7_2016	3681289	220988	6.00301
Er46_RMN7_2018	29978	118	0.393622
Er47_CR4_2016	5528053	327815	5.93003
Er47_CR4_2018	3077948	19849	0.644878
Er48_BH16_2016	5301798	339283	6.3994
Er48_BH16_2018	4963956	30707	0.618599
Er49_GR38_2016	5579072	337133	6.04282
Er49_GR38_2018	3290606	18693	0.568072
Er50_R3_2016	2082471	128395	6.16551
Er50_R3_2018	3370823	20103	0.596383
Er51_436_2016	10377477	285964	2.75562
Er51_436_2018	5442559	31706	0.582557
Er52_451_2016	3770549	94374	2.50292
Er52_451_2018	2132064	10464	0.490792
Er53_ASR7_2016	7653275	202138	2.6412
Er53_ASR7_2018	4019681	21711	0.540117
Er54_AU1_2016	7735348	212689	2.74957
Er54_AU1_2018	4065412	23696	0.582868
Er55_AU7_2016	6538532	185519	2.83732
Er55_AU7_2018	3568129	18181	0.509539
Er56_AZ5_2016	7506001	226024	3.01124
Er56_AZ5_2018	3826709	19644	0.513339
Er57_COR4_2016	2427972	69422	2.85926
Er57_COR4_2018	1119117	5267	0.470639
Er58_FI7_2016	1910193	55986	2.93091
Er58_FI7_2018	954240	5396	0.565476
Er59_FR1_2016	53713	1174	2.18569
Er59_FR1_2018	56146	397	0.707085
Er60_GR5_2016	3409190	95513	2.80163
Er60_GR5_2018	1841580	10724	0.582326
Er61_GR87_2016	389208	11666	2.99737
Er61_GR87_2018	193378	1200	0.620546
Er62_GR95_2016	180575	3930	2.17638
Er62_GR95_2018	147773	887	0.600245
Er63_IR6_2016	5901548	163414	2.769
Er63_IR6_2018	2977899	14576	0.489473
Er64_IS1_2016	4347814	138559	3.18687
Er64_IS1_2018	2167817	12806	0.590733
Er65_IS25_2016	7678973	205109	2.67105
Er65_IS25_2018	4122528	22698	0.550584
Er66_IT3_2016	9678832	259943	2.68569
Er66_IT3_2018	5289805	31613	0.597621
Er67_IT5_2016	1868148	48583	2.6006
Er67_IT5_2018	885460	3603	0.406907
Er68_PRT1B_2016	86315	2041	2.36459
Er68_PRT1B_2018	44499	219	0.492146
Er69_R2_2016	6283669	170991	2.7212
Er69_R2_2018	3113597	17573	0.564395
Er70_RMN42_2016	6884850	188678	2.74048
Er70_RMN42_2018	3571816	20197	0.565455
Er71_SAR2_2016	6679150	207988	3.11399
Er71_SAR2_2018	3365004	19201	0.570609
Er72_SIE1B_2016	3368328	106388	3.15848
Er72_SIE1B_2018	1592029	7225	0.453823
Er73_SNG1_2016	3271117	86661	2.64928
Er73_SNG1_2018	1758555	7778	0.442295
Er74_SP16_2016	5727516	156199	2.72717
Er74_SP16_2018	3178787	15962	0.502141
Er75_TRC2A_2016	3279771	82068	2.50225
Er75_TRC2A_2018	1760064	8397	0.477085
