#Sample	Ancestral_1	Ancestral_2	Percent1_(SNPs)	Percent2_(SNPs)	Percent1_(bases)	Percent2_(bases)	Generations	LogLikelihood
Er37_SK27	roumanicus	europaeus	0.7776	0.2224	0.7746	0.2254	       2	  -61483.5765
Er37_SK27	roumanicus	europaeus	0.7789	0.2211	0.7758	0.2242	       3	  -61921.7700
Er37_SK27	roumanicus	europaeus	0.7798	0.2202	0.7766	0.2234	       4	  -62084.8818
Er37_SK27	roumanicus	europaeus	0.7804	0.2196	0.7772	0.2228	       5	  -62225.6520
Er37_SK27	roumanicus	europaeus	0.7806	0.2194	0.7774	0.2226	       6	  -62251.7727
Er37_SK27	roumanicus	europaeus	0.7810	0.2190	0.7779	0.2221	       7	  -62328.7883
Er37_SK27	roumanicus	europaeus	0.7814	0.2186	0.7783	0.2217	       8	  -62370.2938
Er37_SK27	roumanicus	europaeus	0.7816	0.2184	0.7785	0.2215	       9	  -62444.5452
Er37_SK27	roumanicus	europaeus	0.7818	0.2182	0.7787	0.2213	      10	  -62509.9560
Er37_SK27	roumanicus	europaeus	0.7852	0.2148	0.7821	0.2179	      25	  -63567.9413
Er37_SK27	roumanicus	europaeus	0.7872	0.2128	0.7840	0.2160	      50	  -65287.3588
Er55_AU7	roumanicus	europaeus	0.9999	0.0001	0.9999	0.0001	       2	  -39806.5029
Er55_AU7	roumanicus	europaeus	0.9997	0.0003	0.9997	0.0003	       5	  -39944.4005
Er55_AU7	roumanicus	europaeus	0.9995	0.0005	0.9995	0.0005	      10	  -40152.7887
Er55_AU7	roumanicus	europaeus	0.9994	0.0006	0.9995	0.0005	      25	  -40796.6736
Er55_AU7	roumanicus	europaeus	0.9992	0.0008	0.9993	0.0007	      50	  -41882.8470
Er55_AU7	roumanicus	europaeus	0.9985	0.0015	0.9986	0.0014	     100	  -43972.4905
Er55_AU7	roumanicus	europaeus	0.9964	0.0036	0.9964	0.0036	     250	  -50424.6555
Er55_AU7	roumanicus	europaeus	0.9936	0.0064	0.9934	0.0066	     500	  -61005.6370
Er55_AU7	roumanicus	europaeus	0.9882	0.0118	0.9878	0.0122	    1000	  -79412.7570
