Diff	f_hom	f_d	f
-0.045	0	0	1
-0.040	1	0	0
-0.039	0	0	1
-0.037	0	0	1
-0.036	0	0	2
-0.035	0	0	2
-0.034	1	0	0
-0.033	2	0	2
-0.032	0	0	4
-0.031	2	0	10
-0.030	0	0	6
-0.029	2	0	6
-0.028	6	0	10
-0.027	4	0	14
-0.026	9	0	11
-0.025	10	0	12
-0.024	9	1	16
-0.023	13	0	21
-0.022	13	0	28
-0.021	16	0	36
-0.020	20	2	45
-0.019	34	1	40
-0.018	43	2	45
-0.017	56	2	62
-0.016	52	14	63
-0.015	64	15	66
-0.014	67	19	84
-0.013	79	23	99
-0.012	92	28	114
-0.011	109	69	99
-0.010	128	84	120
-0.009	136	110	135
-0.008	137	118	123
-0.007	149	169	143
-0.006	165	199	142
-0.005	162	231	156
-0.004	196	259	157
-0.003	173	290	148
-0.002	176	310	170
-0.001	214	321	174
0.000	197	339	182
0.001	193	365	175
0.002	222	313	178
0.003	200	278	177
0.004	182	274	149
0.005	166	233	171
0.006	165	216	130
0.007	153	183	151
0.008	140	124	121
0.009	136	118	132
0.010	138	99	123
0.011	113	56	118
0.012	101	48	102
0.013	88	35	99
0.014	80	16	94
0.015	60	14	72
0.016	70	6	52
0.017	55	6	58
0.018	38	6	61
0.019	32	0	52
0.020	27	2	41
0.021	30	2	32
0.022	18	0	36
0.023	13	0	16
0.024	5	0	27
0.025	11	0	21
0.026	6	0	14
0.027	3	0	6
0.028	5	0	11
0.029	3	0	4
0.030	4	0	5
0.031	2	0	4
0.032	0	0	3
0.033	1	0	3
0.034	2	0	4
0.035	1	0	3
0.036	0	0	1
0.037	0	0	1
0.039	0	0	1
0.040	0	0	1
0.041	0	0	1
