Reading input files
Number of loci: 2012
Number of admixed populations: 1
Number of individuals: 5
Allowing for uncertainty in allele counts
Allocating memory
Initializing MCMC chain
Initialization complete
mcmc iteration: 0 ........ LnL: -17906.8
mcmc iteration: 1000 ........ LnL: -13469.3
mcmc iteration: 2000 ........ LnL: -13518.3
mcmc iteration: 3000 ........ LnL: -13554.3
mcmc iteration: 4000 ........ LnL: -13481
mcmc iteration: 5000 ........ LnL: -13552.5
mcmc iteration: 6000 ........ LnL: -13504.9
mcmc iteration: 7000 ........ LnL: -13510.4
mcmc iteration: 8000 ........ LnL: -13574.5
mcmc iteration: 9000 ........ LnL: -13519.8
mcmc iteration: 10000 ........ LnL: -13603.2
mcmc iteration: 11000 ........ LnL: -13535.4
mcmc iteration: 12000 ........ LnL: -13543.6
mcmc iteration: 13000 ........ LnL: -13484.7
mcmc iteration: 14000 ........ LnL: -13496
mcmc iteration: 15000 ........ LnL: -13594.7
mcmc iteration: 16000 ........ LnL: -13581.4
mcmc iteration: 17000 ........ LnL: -13548.5
mcmc iteration: 18000 ........ LnL: -13479.7
mcmc iteration: 19000 ........ LnL: -13581.3
mcmc iteration: 20000 ........ LnL: -13543
mcmc iteration: 21000 ........ LnL: -13455.6
mcmc iteration: 22000 ........ LnL: -13499.4
mcmc iteration: 23000 ........ LnL: -13513.5
mcmc iteration: 24000 ........ LnL: -13594.9
mcmc iteration: 25000 ........ LnL: -13541.4
mcmc iteration: 26000 ........ LnL: -13464.7
mcmc iteration: 27000 ........ LnL: -13568.7
mcmc iteration: 28000 ........ LnL: -13451.9
mcmc iteration: 29000 ........ LnL: -13642.2
mcmc iteration: 30000 ........ LnL: -13558.5
mcmc iteration: 31000 ........ LnL: -13488.7
mcmc iteration: 32000 ........ LnL: -13514.4
mcmc iteration: 33000 ........ LnL: -13491.5
mcmc iteration: 34000 ........ LnL: -13531.4
mcmc iteration: 35000 ........ LnL: -13485.5
mcmc iteration: 36000 ........ LnL: -13564.7
mcmc iteration: 37000 ........ LnL: -13552.4
mcmc iteration: 38000 ........ LnL: -13584.1
mcmc iteration: 39000 ........ LnL: -13532.6
mcmc iteration: 40000 ........ LnL: -13563.8
mcmc iteration: 41000 ........ LnL: -13480.2
mcmc iteration: 42000 ........ LnL: -13559.8
mcmc iteration: 43000 ........ LnL: -13502.8
mcmc iteration: 44000 ........ LnL: -13502.7
mcmc iteration: 45000 ........ LnL: -13590.8
mcmc iteration: 46000 ........ LnL: -13530.6
mcmc iteration: 47000 ........ LnL: -13592.8
mcmc iteration: 48000 ........ LnL: -13478.7
mcmc iteration: 49000 ........ LnL: -13493.7
mcmc iteration: 50000 ........ LnL: -13535.2
mcmc iteration: 51000 ........ LnL: -13565.1
mcmc iteration: 52000 ........ LnL: -13543.7
mcmc iteration: 53000 ........ LnL: -13522.8
mcmc iteration: 54000 ........ LnL: -13510.3
mcmc iteration: 55000 ........ LnL: -13510.3
mcmc iteration: 56000 ........ LnL: -13564.6
