numSamples	Sample	pca1	pca2	longitude	latitude	pca1_norm
29	Er44_VOJ1	-59.004795	-0.217653	21.43	44.9	0
29	Er32_183	-58.879596	-0.526893	13.4	50.45	0.000881251322679422
29	Er40_M2	-58.844797	-0.424173	21.15	47.58	0.00112619469106032
29	Er69_R2	-58.515463	-0.269905	34.1	44.95	0.00344431243244246
29	Er42_GR35	-58.237948	0.291092	24.5	35.33	0.00539768634767638
29	Er41_GR36	-58.226165	0.209902	24.48	35.27	0.00548062458468412
29	Er70_RMN42	-58.16434	-0.264861	24.74	46.83	0.00591579869170297
29	Er39_PL1	-58.105386	-0.50841	22.46	54.05	0.00633076439012901
29	Er60_GR5	-58.063385	0.034397	19.9	39.47	0.00662640123070971
29	Er47_CR4	-58.051456	0.080916	17.59	42.87	0.00671036713321883
29	Er43_SL7	-58.030464	-0.163317	14.32	46.27	0.00685812572366832
29	Er48_BH16	-57.839305	-0.009848	17.39	43.46	0.00820365661123189
29	Er66_IT3	-57.638815	-0.211474	11.12	46.22	0.00961486658642336
29	Er45_BLG3	-57.591755	-0.11007	24.7	43.23	0.00994611274050841
29	Er28_112	-57.035665	-0.62559	14.42	50.12	0.0138603217040687
29	Er55_AU7	-52.011274	-0.083592	16.37	48.21	0.0492260292129827
29	Er37_SK27	-23.39878	-5.957952	18.86	48.88	0.250623789439954
29	Er74_SP16	72.212807	40.381949	2.26	41.67	0.923615087351497
29	Er56_AZ5	75.084806	41.793306	-25.68	37.74	0.943830527710318
29	Er30_79	75.106627	37.94458	-1.59	54.77	0.94398412146995
29	Er63_IR6	76.799547	37.91994	-9.53	52.17	0.955900254899054
29	Er71_SAR2	79.005856	-16.071805	9.19	40.31	0.971430033287775
29	Er29_122	79.419414	-19.570575	14.42	50.12	0.974340987324985
29	Er52_451	80.283611	-17.138832	8.39	49.02	0.980423901320349
29	Er31_453	80.849183	-12.230516	9.98	53.55	0.984404852231062
29	Er33_211	81.689976	-19.456301	18.12	50.18	0.990323030038789
29	Er34_197	81.965002	-21.128855	13.6	49.6	0.992258884368866
29	Er54_AU1	82.157778	-22.942654	14.43	48.02	0.993615797003798
29	Er51_436	83.064779	-20.742806	11.58	48.14	1
30	Er32_183	-50.427757	-0.473184	13.4	50.45	0
30	Er44_VOJ1	-50.414894	-0.163799	21.43	44.9	0.000102604680804344
30	Er40_M2	-50.411635	-0.321877	21.15	47.58	0.000128600844587386
30	Er69_R2	-50.346369	-0.271547	34.1	44.95	0.00064921011904701
30	Er39_PL1	-49.799987	-0.437123	22.46	54.05	0.00500755192945098
30	Er41_GR36	-49.758222	0.280192	24.48	35.27	0.0053407000670388
30	Er42_GR35	-49.720283	0.339639	24.5	35.33	0.00564332923480956
30	Er70_RMN42	-49.689289	-0.189454	24.74	46.83	0.0058905600112108
30	Er43_SL7	-49.642422	-0.034806	14.32	46.27	0.00626440542637491
30	Er60_GR5	-49.581172	0.094184	19.9	39.47	0.00675298015227592
30	Er47_CR4	-49.55238	0.102661	17.59	42.87	0.0069826461687354
30	Er48_BH16	-49.38717	0.030508	17.39	43.46	0.00830048176818202
30	Er66_IT3	-49.201916	-0.207758	11.12	46.22	0.0097782029481341
30	Er45_BLG3	-49.175171	-0.000582	24.7	43.23	0.00999154059783568
30	Er28_112	-48.78288	-0.483426	14.42	50.12	0.0131207400720958
30	Er50_R3	-46.60406	-0.709815	39.15	53.02	0.030500599407404
30	Er55_AU7	-44.289533	-0.111151	16.37	48.21	0.0489629568705137
30	Er37_SK27	-19.16365	-5.090945	18.86	48.88	0.249385347070443
30	Er74_SP16	65.440897	35.629548	2.26	41.67	0.924252993772543
30	Er30_79	67.931914	33.401575	-1.59	54.77	0.944123164351967
30	Er56_AZ5	67.9543	36.999751	-25.68	37.74	0.944301731434645
30	Er63_IR6	69.389415	33.385563	-9.53	52.17	0.955749256622587
30	Er71_SAR2	71.314162	-14.121341	9.19	40.31	0.971102444181016
30	Er29_122	71.726995	-17.371907	14.42	50.12	0.97439550164743
30	Er52_451	72.46628	-14.945426	8.39	49.02	0.98029257864723
30	Er31_453	72.922707	-10.928712	9.98	53.55	0.983933373690802
30	Er33_211	73.762026	-17.200489	18.12	50.18	0.990628394921308
30	Er34_197	73.989133	-18.825603	13.6	49.6	0.992439966191108
30	Er54_AU1	74.114068	-20.170117	14.43	48.02	0.993436538980992
30	Er51_436	74.936894	-18.204558	11.58	48.14	1
31	Er32_183	-42.040325	-0.380194	13.4	50.45	0
31	Er44_VOJ1	-42.021776	-0.124697	21.43	44.9	0.000171779614487429
31	Er40_M2	-41.965258	-0.311098	21.15	47.58	0.000695184663363439
31	Er69_R2	-41.88216	-0.285143	34.1	44.95	0.00146474325976627
31	Er39_PL1	-41.555962	-0.351319	22.46	54.05	0.00448561590446784
31	Er42_GR35	-41.469831	0.233624	24.5	35.33	0.0052832626765535
31	Er41_GR36	-41.469558	0.185177	24.48	35.27	0.00528579089019063
