Sample	Unmapped	Mapped_once	Ambiguous_mapping	Total	Population
Er88_PTZ092	3203789	7401366	2641759	13246914	E. europaeus
Er99_ZBS122	2415289	7518773	2761863	12695925	E. roumanicus
Er106_NGE1	2347319	7704868	2731191	12783378	E. roumanicus
Er98_ZBS103.111	1950388	7595729	2708699	12254816	E. europaeus
Er100_ZBS133	3122915	8188672	3036159	14347746	E. roumanicus
Er108_VLD2013	1446167	2354755	806414	4607336	E. europaeus
Er84_Ea091	2383593	6826082	2470004	11679679	E. amurensis
Er114_Penza171	3676026	9098136	3512704	16286866	E. roumanicus
Er97_ZBS1015	2506510	8451328	2861691	13819529	E. europaeus
Er96_ZBS1011	3443316	7515340	2907620	13866276	E. roumanicus
Er101_ZBS135	2184471	7767810	2994522	12946803	E. roumanicus
Er85_TuE2	2565355	6874567	2648950	12088872	E. roumanicus
Er83_Ea108	2362401	6987310	2605930	11955641	E. amurensis
Er89_PTZ1301	2844946	8122077	3038858	14005881	E. roumanicus
Er93_ZBS073	2633586	7038908	2737735	12410229	E. europaeus
Er92_GR28	4300262	10924000	4069609	19293871	E. concolor
Er81_Ch44	3657904	8309806	3222948	15190658	E. roumanicus
Er86_Tv1302	2429676	9087564	3258898	14776138	E. europaeus
Er76_Ch8f	6476823	5888481	2193858	14559162	E. europaeus
Er109_NVB	1697864	3419020	1274989	6391873	E. roumanicus
Er94_ZBS093	2733854	7833947	2947919	13515720	E. roumanicus
Er87_Tv161	3348504	9970888	3412921	16732313	E. europaeus
Er110_Krasngr	1203920	3279127	1155286	5638333	E. europaeus
Er91_GR24	3317210	7011933	2730415	13059558	E. concolor
Er80_Ch23	2002489	6186153	2191647	10380289	E. europaeus
Er104_Kal121	1877199	5992460	2359674	10229333	E. roumanicus
Er77_Ch18f	3212501	8522512	3118982	14853995	E. europaeus
Er79_Ch19	3412476	5831404	2264191	11508071	E. roumanicus
Er113_KaluE6	2046509	6649415	2690000	11385924	E. roumanicus
Er112_Samara171	2202284	7360281	2727288	12289853	E. roumanicus
Er82_Ch53	2736924	7430862	2774871	12942657	E. roumanicus
Er115_VortsaE12	2312911	7189145	2701861	12203917	E. europaeus
Er107_Kos27	2630010	7021503	2522917	12174430	E. europaeus
Er111_Saratov111	1468840	1741832	642195	3852867	E. roumanicus
Er102_ZBS1675	1880185	6484286	2350355	10714826	E. europaeus
Er105_Vor151	2622869	7104755	2694924	12422548	E. roumanicus
Er78_Ch11	2226623	5652430	2111386	9990439	E. roumanicus
Er90_PTZ1303	2715219	5996689	2251375	10963283	E. roumanicus
Er95_ZBS104	3404679	8888672	3069194	15362545	E. europaeus
Er103_ZBSTvE8	2245691	7167584	2587924	12001199	E. europaeus
