Sample	Unmapped	Mapped_once	Ambiguous_mapping	Total	Population
Er88_PTZ092	2995043	7386373	2865498	13246914	E. europaeus
Er99_ZBS122	2237788	7471683	2986454	12695925	E. roumanicus
Er106_NGE1	2195055	7654180	2934143	12783378	E. roumanicus
Er98_ZBS103.111	1814229	7530402	2910185	12254816	E. europaeus
Er100_ZBS133	2895069	8163221	3289456	14347746	E. roumanicus
Er108_VLD2013	1392759	2346034	868543	4607336	E. europaeus
Er84_Ea091	2225630	6772425	2681624	11679679	E. amurensis
Er114_Penza171	3405354	9059762	3821750	16286866	E. roumanicus
Er97_ZBS1015	2305093	8426987	3087449	13819529	E. europaeus
Er96_ZBS1011	3211227	7498862	3156187	13866276	E. roumanicus
Er101_ZBS135	1994650	7711428	3240725	12946803	E. roumanicus
Er85_TuE2	2397704	6819530	2871638	12088872	E. roumanicus
Er83_Ea108	2208590	6914650	2832401	11955641	E. amurensis
Er89_PTZ1301	2623154	8089279	3293448	14005881	E. roumanicus
Er93_ZBS073	2437185	7011486	2961558	12410229	E. europaeus
Er92_GR28	3980010	10901562	4412299	19293871	E. concolor
Er81_Ch44	3413625	8273080	3503953	15190658	E. roumanicus
Er86_Tv1302	2252887	9018525	3504726	14776138	E. europaeus
Er76_Ch8f	6218200	5946548	2394414	14559162	E. europaeus
Er109_NVB	1604344	3404217	1383312	6391873	E. roumanicus
Er94_ZBS093	2528359	7797046	3190315	13515720	E. roumanicus
Er87_Tv161	3136899	9922275	3673139	16732313	E. europaeus
Er110_Krasngr	1144277	3251868	1242188	5638333	E. europaeus
Er91_GR24	3102062	6991878	2965618	13059558	E. concolor
Er80_Ch23	1869324	6151114	2359851	10380289	E. europaeus
Er104_Kal121	1723297	5945480	2560556	10229333	E. roumanicus
Er77_Ch18f	2984882	8495136	3373977	14853995	E. europaeus
Er79_Ch19	3221500	5823713	2462858	11508071	E. roumanicus
Er113_KaluE6	1869000	6601806	2915118	11385924	E. roumanicus
Er112_Samara171	2021967	7312500	2955386	12289853	E. roumanicus
Er82_Ch53	2526520	7407977	3008160	12942657	E. roumanicus
Er115_VortsaE12	2172298	7124370	2907249	12203917	E. europaeus
Er107_Kos27	2488056	6970452	2715922	12174430	E. europaeus
Er111_Saratov111	1423180	1733158	696529	3852867	E. roumanicus
Er102_ZBS1675	1737119	6439600	2538107	10714826	E. europaeus
Er105_Vor151	2447334	7058532	2916682	12422548	E. roumanicus
Er78_Ch11	2079805	5617807	2292827	9990439	E. roumanicus
Er90_PTZ1303	2558040	5961898	2443345	10963283	E. roumanicus
Er95_ZBS104	3220458	8846185	3295902	15362545	E. europaeus
Er103_ZBSTvE8	2104772	7110940	2785487	12001199	E. europaeus
