Er55_AU7	admixed
Er38_LB1	concolor
Er49_GR38	concolor
Er53_ASR7	concolor
Er64_IS1	concolor
Er75_TRC2A	concolor
Er29_122	europaeus
Er30_79	europaeus
Er31_453	europaeus
Er33_211	europaeus
Er34_197	europaeus
Er51_436	europaeus
Er52_451	europaeus
Er54_AU1	europaeus
Er56_AZ5	europaeus
Er57_COR4	europaeus
Er58_FI7	europaeus
Er63_IR6	europaeus
Er67_IT5	europaeus
Er71_SAR2	europaeus
Er72_SIE1B	europaeus
Er74_SP16	europaeus
Er65_IS25	Hemiechinus
Er37_SK27	hybrid
Er26_JUG4	roumanicus
Er27_SK32	roumanicus
Er28_112	roumanicus
Er32_183	roumanicus
Er35_209	roumanicus
Er36_SK24	roumanicus
Er39_PL1	roumanicus
Er40_M2	roumanicus
Er41_GR36	roumanicus
Er42_GR35	roumanicus
Er43_SL7	roumanicus
Er44_VOJ1	roumanicus
Er45_BLG3	roumanicus
Er46_RMN7	roumanicus
Er47_CR4	roumanicus
Er48_BH16	roumanicus
Er50_R3	roumanicus
Er60_GR5	roumanicus
Er61_GR87	roumanicus
Er62_GR95	roumanicus
Er66_IT3	roumanicus
Er69_R2	roumanicus
Er70_RMN42	roumanicus
