beta  ances 
0.221 0.320
0.219 0.317
0.220 0.317
0.219 0.317
0.219 0.317
0.219 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.219 0.316
0.219 0.316
0.219 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.317
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.317
0.218 0.317
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
