beta  ances 
0.230 0.363
0.228 0.366
0.229 0.368
0.228 0.368
0.229 0.369
0.229 0.368
0.229 0.368
0.230 0.368
0.230 0.368
0.230 0.368
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.229 0.367
0.229 0.367
0.229 0.367
0.229 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
0.230 0.367
