beta  ances 
0.186 0.452
0.185 0.451
0.186 0.450
0.186 0.451
0.187 0.451
0.187 0.450
0.187 0.450
0.188 0.449
0.187 0.449
0.187 0.449
0.187 0.450
0.187 0.450
0.187 0.450
0.187 0.450
0.187 0.450
0.187 0.450
0.188 0.450
0.187 0.450
0.187 0.450
0.187 0.449
0.187 0.449
0.187 0.449
0.187 0.449
0.187 0.449
0.187 0.449
0.187 0.449
0.187 0.449
0.188 0.449
0.188 0.449
0.188 0.449
0.188 0.449
0.188 0.449
0.188 0.449
0.188 0.449
0.187 0.449
0.187 0.449
0.188 0.449
0.187 0.449
0.188 0.449
0.188 0.449
0.188 0.449
0.188 0.449
0.188 0.449
0.188 0.449
0.187 0.449
0.187 0.449
0.187 0.449
0.187 0.449
0.187 0.449
