beta  ances 
0.215 0.376
0.214 0.376
0.213 0.375
0.213 0.375
0.213 0.375
0.213 0.375
0.213 0.375
0.213 0.375
0.212 0.374
0.212 0.374
0.212 0.374
0.212 0.374
0.212 0.375
0.212 0.375
0.212 0.375
0.212 0.375
0.212 0.375
0.212 0.375
0.212 0.375
0.212 0.375
0.212 0.375
0.212 0.375
0.212 0.375
0.212 0.375
0.212 0.375
0.212 0.376
0.212 0.376
0.212 0.375
0.212 0.375
0.212 0.376
0.212 0.376
0.212 0.376
0.212 0.376
0.212 0.376
0.212 0.376
0.212 0.376
0.212 0.376
0.212 0.376
0.212 0.375
0.212 0.376
0.212 0.375
0.212 0.375
0.212 0.375
0.212 0.376
0.212 0.375
0.212 0.375
0.212 0.375
0.212 0.375
0.212 0.375
