# Sample	Mapped
Er100_ZBS133 	 11451751
Er101_ZBS135 	 10951734
Er102_ZBS1675 	 8977659
Er103_ZBSTvE8 	 9896352
Er104_Kal121 	 8505784
Er105_Vor151 	 9974089
Er106_NGE1 	 10585200
Er107_Kos27 	 9686319
Er108_VLD2013 	 3214473
Er109_NVB 	 4783981
Er110_Krasngr 	 4493954
Er111_Saratov111 	 2429352
Er112_Samara171 	 10266375
Er113_KaluE6 	 9516417
Er114_Penza171 	 12879767
Er115_VortsaE12 	 10031601
Er26_JUG4 	 10275462
Er27_SK32 	 13864592
Er28_112 	 14499928
Er29_122 	 16212602
Er30_79 	 25994526
Er31_453 	 27448820
Er32_183 	 17753386
Er33_211 	 11037352
Er34_197 	 14470390
Er35_209 	 9453572
Er36_SK24 	 6707576
Er37_SK27 	 16408928
Er38_LB1 	 8014806
Er39_PL1 	 20081858
Er40_M2 	 18378044
Er41_GR36 	 23513094
Er42_GR35 	 18383996
Er43_SL7 	 17582938
Er44_VOJ1 	 16975294
Er45_BLG3 	 16235474
Er46_RMN7 	 7422406
Er47_CR4 	 17199920
Er48_BH16 	 20530558
Er49_GR38 	 17706454
Er50_R3 	 10899462
Er51_436 	 31638736
Er52_451 	 11805044
Er53_ASR7 	 23341272
Er54_AU1 	 23601094
Er55_AU7 	 20211702
Er56_AZ5 	 22665006
Er57_COR4 	 7094078
Er58_FI7 	 5728608
Er59_FR1 	 219632
Er60_GR5 	 10483064
Er61_GR87 	 1164964
Er62_GR95 	 656584
Er63_IR6 	 17758592
Er64_IS1 	 13027912
Er65_IS25 	 23602862
Er66_IT3 	 29894626
Er67_IT5 	 5506812
Er68_PRT1B 	 261548
Er69_R2 	 18793618
Er70_RMN42 	 20912986
Er71_SAR2 	 20087610
Er72_SIE1B 	 9920514
Er73_SNG1 	 10059154
Er74_SP16 	 17810618
Er75_TRC2A 	 10076318
Er76_Ch8f 	 8340881
Er77_Ch18f 	 11868970
Er78_Ch11 	 7909992
Er79_Ch19 	 8285885
Er80_Ch23 	 8510919
Er81_Ch44 	 11776201
Er82_Ch53 	 10414803
Er83_Ea108 	 9745500
Er84_Ea091 	 9452629
Er85_TuE2 	 9689584
Er86_Tv1302 	 12523149
Er87_Tv161 	 13595285
Er88_PTZ092 	 10251789
Er89_PTZ1301 	 11381320
Er90_PTZ1303 	 8395249
Er91_GR24 	 9956460
Er92_GR28 	 15311162
Er93_ZBS073 	 9972951
Er94_ZBS093 	 10986114
Er95_ZBS104 	 12141943
Er96_ZBS1011 	 10653124
Er97_ZBS1015 	 11514124
Er98_ZBS103.111 	 10440454
Er99_ZBS122 	 10455546
