numReads	pop	run	inK1	minDP8	minDP8forward	lowest15
Er26_JUG4	5137731	roumanicus	1	good	187393	150961	good
Er36_SK24	3353788	roumanicus	1	bad	33564	26887	bad
Er37_SK27	8204464	roumanicus	1	good	515429	518551	good
Er38_LB1	4007403	concolor	1	good	92215	86118	bad
Er39_PL1	10040929	roumanicus	1	good	723722	734001	good
Er40_M2	9189022	roumanicus	1	good	648565	649652	good
Er41_GR36	11756547	roumanicus	1	good	945476	948760	good
Er42_GR35	9191998	roumanicus	1	good	635994	646682	good
Er43_SL7	8791469	roumanicus	1	good	590792	596675	good
Er44_VOJ1	8487647	roumanicus	1	good	576915	587447	good
Er45_BLG3	8117737	roumanicus	1	good	526451	514566	good
Er27_SK32	6932296	roumanicus	1	good	378650	386726	good
Er46_RMN7	3711203	roumanicus	1	good	94415	89801	bad
Er47_CR4	8599960	roumanicus	1	good	565043	570774	good
Er48_BH16	10265279	roumanicus	1	good	785378	791191	good
Er49_GR38	8853227	concolor	1	good	590847	597586	good
Er50_R3	5449731	roumanicus	1	good	187037	188986	good
Er51_436	15819368	europaeus	1	good	1594300	1432927	good
Er52_451	5902522	europaeus	1	good	337861	336899	good
Er53_ASR7	11670636	concolor	1	good	1110183	1098323	good
Er54_AU1	11800547	europaeus	1	good	1151918	1186207	good
Er55_AU7	10105851	roumanicus	1	good	908698	923546	good
Er28_112	7249964	roumanicus	1	good	414475	424461	good
Er56_AZ5	11332503	europaeus	1	good	1115064	1135135	good
Er57_COR4	3547039	europaeus	1	bad	59645	35349	bad
Er58_FI7	2864304	europaeus	1	bad	32906	29067	bad
Er59_FR1	109816	europaeus	1	bad	10	0	bad
Er60_GR5	5241532	roumanicus	1	good	246848	249964	good
Er61_GR87	582482	roumanicus	1	bad	544	0	bad
Er62_GR95	328292	roumanicus	1	bad	51	0	bad
Er63_IR6	8879296	europaeus	1	good	746651	771404	good
Er64_IS1	6513956	concolor	1	good	397618	356147	good
Er65_IS25	11801431	hemiechinus	1	bad	1204704	983600	good
Er29_122	8106301	europaeus	1	good	539543	557652	good
Er66_IT3	14947313	roumanicus	1	good	1492210	1392183	good
Er67_IT5	2753406	europaeus	1	bad	31579	14572	bad
Er68_PRT1B	130774	europaeus	1	bad	11	0	bad
Er69_R2	9396809	roumanicus	1	good	775565	789909	good
Er70_RMN42	10456493	roumanicus	1	good	937770	954626	good
Er71_SAR2	10043805	europaeus	1	good	912648	914734	good
Er72_SIE1B	4960257	europaeus	1	good	226935	167645	good
Er73_SNG1	5029577	atelerix	1	bad	233556	214198	good
Er74_SP16	8905309	europaeus	1	good	689958	705818	good
Er75_TRC2A	5038159	concolor	1	good	211800	202558	good
Er30_79	12997263	europaeus	1	good	1177100	1186167	good
Er76_Ch8f	8340881	europaeus	2	good	310949	359380	good
Er77_Ch18f	11868970	europaeus	2	good	767082	896084	good
Er78_Ch11	7909992	roumanicus	2	good	368380	424230	good
Er79_Ch19	8285885	roumanicus	2	good	367241	425236	good
Er80_Ch23	8510919	europaeus	2	good	455296	538355	good
Er81_Ch44	11776201	roumanicus	2	good	761178	893915	good
Er82_Ch53	10414803	roumanicus	2	good	640403	737447	good
Er83_Ea108	9745500	amurensis	2	good	631685	726796	good
Er84_Ea091	9452629	amurensis	2	good	593593	682569	good
Er85_TuE2	9689584	roumanicus	2	good	568097	656801	good
Er31_453	13724410	europaeus	1	good	1289911	1280183	good
Er86_Tv1302	12523149	europaeus	2	good	922280	1091824	good
Er87_Tv161	13595285	europaeus	2	good	1030534	1229358	good
Er88_PTZ092	10251789	europaeus	2	good	604588	697845	good
Er89_PTZ1301	11381320	roumanicus	2	good	729638	850455	good
Er90_PTZ1303	8395249	roumanicus	2	good	426002	488604	good
Er91_GR24	9956460	concolor	2	bad	557990	646836	good
Er92_GR28	15311162	concolor	2	bad	1075851	1288748	good
Er93_ZBS073	9972951	europaeus	2	good	566871	663198	good
Er94_ZBS093	10986114	roumanicus	2	good	700780	813535	good
Er95_ZBS104	12141943	europaeus	2	good	889014	1050507	good
Er32_183	8876693	roumanicus	1	good	601475	612765	good
Er96_ZBS1011	10653124	roumanicus	2	good	634075	732117	good
Er97_ZBS1015	11514124	europaeus	2	good	781502	912458	good
Er98_ZBS103.111	10440454	europaeus	2	good	711144	848638	good
Er99_ZBS122	10455546	roumanicus	2	good	652211	751366	good
Er100_ZBS133	11451751	roumanicus	2	good	729996	849493	good
Er101_ZBS135	10951734	roumanicus	2	good	696226	814166	good
Er102_ZBS1675	8977659	europaeus	2	good	520970	597152	good
Er103_ZBSTvE8	9896352	europaeus	2	good	652275	765296	good
Er104_Kal121	8505784	roumanicus	2	good	414553	478766	good
Er105_Vor151	9974089	roumanicus	2	good	595420	694134	good
Er33_211	5518676	europaeus	1	good	215503	226434	good
Er106_NGE1	10585200	roumanicus	2	good	733032	858342	good
Er107_Kos27	9686319	europaeus	2	good	618869	733325	good
Er108_VLD2013	3214473	europaeus	2	bad	31674	35604	bad
Er109_NVB	4783981	roumanicus	2	good	109649	122942	bad
Er110_Krasngr	4493954	europaeus	2	bad	73497	85565	bad
Er111_Saratov111	2429352	roumanicus	2	bad	12722	14146	bad
Er112_Samara171	10266375	roumanicus	2	good	633357	731815	good
Er113_KaluE6	9516417	roumanicus	2	good	533951	619937	good
Er114_Penza171	12879767	roumanicus	2	good	852980	1003880	good
Er115_VortsaE12	10031601	europaeus	2	good	656841	772240	good
Er34_197	7235195	europaeus	1	good	430448	450698	good
Er35_209	4726786	roumanicus	1	good	133480	133338	bad
