Reading input files
Number of loci: 6978
Number of admixed populations: 1
Number of individuals: 10
Allowing for uncertainty in allele counts
Allocating memory
Initializing MCMC chain
Initialization complete
mcmc iteration: 0 ........ LnL: -71716.1
mcmc iteration: 1000 ........ LnL: -64656.3
mcmc iteration: 2000 ........ LnL: -64537.2
mcmc iteration: 3000 ........ LnL: -64980.4
mcmc iteration: 4000 ........ LnL: -64872.8
mcmc iteration: 5000 ........ LnL: -64699.7
mcmc iteration: 6000 ........ LnL: -64752.4
mcmc iteration: 7000 ........ LnL: -64778.7
mcmc iteration: 8000 ........ LnL: -64581.6
mcmc iteration: 9000 ........ LnL: -64529.7
mcmc iteration: 10000 ........ LnL: -64676.9
mcmc iteration: 11000 ........ LnL: -65116.8
mcmc iteration: 12000 ........ LnL: -64940.4
mcmc iteration: 13000 ........ LnL: -64731
mcmc iteration: 14000 ........ LnL: -64592.1
mcmc iteration: 15000 ........ LnL: -64737.7
mcmc iteration: 16000 ........ LnL: -64700.8
mcmc iteration: 17000 ........ LnL: -64738
mcmc iteration: 18000 ........ LnL: -64610.6
mcmc iteration: 19000 ........ LnL: -64864.6
mcmc iteration: 20000 ........ LnL: -64691.5
mcmc iteration: 21000 ........ LnL: -64453.8
mcmc iteration: 22000 ........ LnL: -64818.6
mcmc iteration: 23000 ........ LnL: -64779.1
mcmc iteration: 24000 ........ LnL: -64674.6
mcmc iteration: 25000 ........ LnL: -64726.1
mcmc iteration: 26000 ........ LnL: -64726.4
mcmc iteration: 27000 ........ LnL: -64759.7
mcmc iteration: 28000 ........ LnL: -64678.1
mcmc iteration: 29000 ........ LnL: -64867.8
mcmc iteration: 30000 ........ LnL: -64756.8
mcmc iteration: 31000 ........ LnL: -64806.8
mcmc iteration: 32000 ........ LnL: -64763.9
mcmc iteration: 33000 ........ LnL: -64654.4
mcmc iteration: 34000 ........ LnL: -64710.4
mcmc iteration: 35000 ........ LnL: -64648.9
mcmc iteration: 36000 ........ LnL: -64658.4
mcmc iteration: 37000 ........ LnL: -64861.6
mcmc iteration: 38000 ........ LnL: -64826.4
mcmc iteration: 39000 ........ LnL: -64706
mcmc iteration: 40000 ........ LnL: -64526.3
mcmc iteration: 41000 ........ LnL: -64867.1
mcmc iteration: 42000 ........ LnL: -64593.2
mcmc iteration: 43000 ........ LnL: -64663
mcmc iteration: 44000 ........ LnL: -64735.4
mcmc iteration: 45000 ........ LnL: -64698.2
mcmc iteration: 46000 ........ LnL: -64736.7
mcmc iteration: 47000 ........ LnL: -64648.9
mcmc iteration: 48000 ........ LnL: -64529.8
mcmc iteration: 49000 ........ LnL: -64892.9
mcmc iteration: 50000 ........ LnL: -64810.1
mcmc iteration: 51000 ........ LnL: -64832.1
mcmc iteration: 52000 ........ LnL: -64737.6
mcmc iteration: 53000 ........ LnL: -64885.1
mcmc iteration: 54000 ........ LnL: -64804.2
mcmc iteration: 55000 ........ LnL: -64791.2
mcmc iteration: 56000 ........ LnL: -64579.7
