scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
NW_006803924.1,67777,2904145,1676208,110,109,2.2504,2.2512,-0.0002,-0.0,-0.0
NW_006803924.1,2913589,6002383,4393242,110,109,1.0414,3.4617,-0.5375,-0.1058,-0.0809
NW_006803924.1,6020310,8258811,7096592,110,109,2.2073,0.2394,0.8043,0.1137,0.0886
NW_006803924.1,8284493,10936046,9550712,110,104,2.0093,2.0159,-0.0016,-0.0003,-0.0003
NW_006803924.1,10939371,12772149,11864264,110,107,0.7326,1.1765,-0.2325,-0.0331,-0.0243
NW_006803924.1,12775373,14831481,13757595,110,109,1.5704,0.8373,0.3045,0.0626,0.0383
NW_006803924.1,14890279,17417470,16202117,110,110,2.2862,1.1956,0.3132,0.0543,0.0396
NW_006803925.1,750,3004198,1674489,110,105,1.4223,0.6849,0.35,0.0428,0.0298
NW_006803925.1,3008131,6284291,4649416,110,108,1.3687,0.2077,0.7365,0.0681,0.0484
NW_006803925.1,6298364,9372851,7848409,110,110,0.2512,4.5487,-0.8953,-0.413,-0.2128
NW_006803925.1,9391691,12744898,11130292,110,110,1.9014,1.387,0.1564,0.032,0.0247
NW_006803926.1,108017,2314848,1333736,110,107,1.1413,2.0903,-0.2937,-0.1104,-0.0572
NW_006803926.1,2317819,4997986,3676176,110,108,3.0205,0.2296,0.8587,0.1662,0.1284
NW_006803926.1,5005107,7255547,6232769,110,107,0.6793,0.1181,0.7039,0.0449,0.0367
NW_006803926.1,7275431,9948698,8609725,110,107,1.3865,0.2217,0.7243,0.1094,0.0725
NW_006803926.1,9955390,12126646,11073666,110,109,1.2326,0.7544,0.2407,0.0335,0.0226
NW_006803926.1,12206504,14799566,13457649,110,110,1.7568,1.1891,0.1927,0.0702,0.0382
NW_006803927.1,26868,2750486,1343511,110,108,1.4139,1.1746,0.0925,0.0166,0.0123
NW_006803927.1,2765116,4834904,3840631,110,109,4.2673,1.1481,0.576,0.201,0.1603
NW_006803927.1,4847902,6956070,5902960,110,107,1.6985,3.9299,-0.3964,-0.1527,-0.0885
NW_006803927.1,7016729,9001039,8044301,110,110,1.2711,2.7333,-0.3652,-0.0782,-0.0496
NW_006803927.1,9012173,11962728,10327517,110,108,2.0856,1.4285,0.187,0.0642,0.0381
NW_006803927.1,11999220,14909625,13385095,107,106,1.9277,2.9147,-0.2038,-0.0557,-0.042
NW_006803928.1,1627,2487121,1279920,110,110,0.1351,1.9833,-0.8725,-0.1418,-0.0918
NW_006803928.1,2563799,5261812,3990564,110,109,2.1824,0.8563,0.4364,0.0716,0.0616
NW_006803928.1,5275142,8312147,6770838,110,108,2.5744,3.1883,-0.1065,-0.0336,-0.0235
NW_006803928.1,8368344,10460154,9395234,110,109,0.9567,0.1896,0.6692,0.0447,0.0333
NW_006803928.1,10562112,13563595,12066382,110,109,2.751,2.2618,0.0976,0.0259,0.018
NW_006803929.1,3954,2174834,1274270,110,108,0.514,0.0806,0.729,0.0329,0.0295
NW_006803929.1,2208384,5414430,3818363,110,110,0.5333,0.0938,0.7008,0.028,0.0238
NW_006803929.1,5437676,8505673,6927974,110,109,0.941,0.2089,0.6366,0.0572,0.0478
NW_006803929.1,8572776,10739692,9634607,110,110,2.561,0.249,0.8228,0.1341,0.1094
NW_006803930.1,14512,2928216,1603125,110,110,3.825,0.6988,0.691,0.1371,0.1041
NW_006803930.1,3020688,6047801,4643518,110,109,3.2581,3.3612,-0.0156,-0.0059,-0.0039
NW_006803930.1,6053873,8430794,7271545,110,107,1.6942,1.1831,0.1776,0.031,0.0238
NW_006803930.1,8453869,11458521,9885701,110,108,2.7264,0.1869,0.8717,0.1868,0.1423
NW_006803931.1,4343,2417177,1243071,110,109,0.2097,1.2265,-0.7079,-0.0914,-0.057
NW_006803931.1,2430418,4642578,3607217,110,110,0.6483,1.6798,-0.443,-0.0844,-0.0517
NW_006803931.1,4666511,7419615,6100196,110,110,2.3777,3.3034,-0.1629,-0.0517,-0.0371
NW_006803931.1,7447927,9724953,8629201,110,110,1.2482,2.8267,-0.3874,-0.1057,-0.0804
NW_006803932.1,51795,2398265,1177059,110,108,0.1292,2.2857,-0.893,-0.1756,-0.1088
NW_006803932.1,2402256,4415342,3364238,110,107,0.6731,2.0255,-0.5012,-0.1208,-0.0736
NW_006803932.1,4424936,6440373,5409797,110,110,1.3584,0.896,0.2051,0.0267,0.02
NW_006803932.1,6483776,8514998,7575239,110,107,2.2058,2.3685,-0.0356,-0.0116,-0.008
NW_006803932.1,8518587,10943236,9645093,110,108,3.1844,0.4106,0.7716,0.1863,0.1455
NW_006803933.1,17114,2316318,1179262,110,109,0.99,0.1782,0.695,0.0504,0.0388
NW_006803933.1,2345670,5803219,4096104,110,108,0.6029,0.1646,0.5711,0.04,0.0328
NW_006803933.1,5833677,8408055,7281104,110,108,1.6465,0.754,0.3718,0.0709,0.0439
NW_006803933.1,8414390,10883317,9471946,105,102,0.5402,0.1533,0.5578,0.0255,0.02
NW_006803934.1,783,2588320,1304020,110,105,0.8161,2.3841,-0.4899,-0.0794,-0.0559
NW_006803934.1,2606359,5689147,4152029,110,107,2.176,0.3355,0.7328,0.1278,0.096
NW_006803934.1,5719188,7946442,6846937,110,109,1.4354,0.0833,0.8903,0.07,0.0502
NW_006803934.1,7964414,10519328,9292095,110,107,1.3326,1.0679,0.1103,0.0124,0.009
NW_006803935.1,45575,2949307,1436727,110,108,0.1803,0.985,-0.6905,-0.0759,-0.0473
NW_006803935.1,2980945,5374545,4379568,110,106,1.2405,1.213,0.0112,0.0019,0.0013
NW_006803935.1,5381527,8180202,6795663,110,108,1.3029,0.0333,0.9502,0.0717,0.0679
NW_006803935.1,8182227,11029933,9646333,100,96,nan,nan,nan,nan,nan
NW_006803936.1,7117,2882325,1362975,110,110,0.1576,0.9057,-0.7036,-0.0487,-0.0426
NW_006803936.1,2900502,5598469,4336523,110,110,0.2925,1.2819,-0.6284,-0.0828,-0.0651
NW_006803936.1,5641345,7842253,6723712,110,109,0.5009,0.1961,0.4373,0.0214,0.0156
