scaffold,start,end,mid,sites,pi_concolor,pi_roumanicus,pi_europaeus,dxy_concolor_roumanicus,dxy_concolor_europaeus,dxy_roumanicus_europaeus,Fst_concolor_roumanicus,Fst_concolor_europaeus,Fst_roumanicus_europaeus
NW_006803924.1,1,1500000,879690,68,0.0599,0.0872,0.1144,0.223,0.3604,0.3881,0.3738,0.5209,0.5894
NW_006803924.1,1500001,3000000,2274322,100,0.0777,0.055,0.0957,0.2171,0.4727,0.4481,0.4526,0.6283,0.7187
NW_006803924.1,3000001,4500000,3711693,75,0.0983,0.0579,0.0922,0.2412,0.3002,0.344,0.4467,0.4652,0.6473
NW_006803924.1,4500001,6000000,5121932,72,0.1011,0.058,0.0828,0.3058,0.4462,0.5243,0.5258,0.617,0.7659
NW_006803924.1,6000001,7500000,6771740,90,0.0544,0.0707,0.1066,0.2252,0.4134,0.4148,0.4405,0.5882,0.6524
NW_006803924.1,7500001,9000000,8318412,78,0.0721,0.0392,0.1009,0.2234,0.3609,0.3586,0.5448,0.5394,0.6871
NW_006803924.1,9000001,10500000,9727030,76,0.0535,0.0461,0.0611,0.2309,0.4946,0.5781,0.5542,0.7467,0.8315
NW_006803924.1,10500001,12000000,11331320,87,0.09,0.0415,0.0614,0.2629,0.4192,0.4494,0.5569,0.6649,0.7974
NW_006803924.1,12000001,13500000,12772364,83,0.102,0.0666,0.0771,0.2161,0.3902,0.3943,0.3688,0.5888,0.6909
NW_006803924.1,13500001,15000000,14247955,92,0.1034,0.0718,0.0996,0.2557,0.3868,0.3397,0.4126,0.5305,0.6
NW_006803924.1,15000001,16500000,15788665,87,0.085,0.0586,0.0982,0.2917,0.4607,0.3899,0.5294,0.6082,0.6717
NW_006803924.1,16500001,18000000,16972648,55,0.0891,0.0488,0.0463,0.2752,0.4316,0.5126,0.5422,0.7158,0.8271
NW_006803925.1,1,1500000,720022,62,0.0659,0.0589,0.0654,0.2466,0.4581,0.4495,0.4995,0.7047,0.7558
NW_006803925.1,1500001,3000000,2278388,80,0.0777,0.0571,0.0662,0.2183,0.3865,0.341,0.4456,0.6441,0.6929
NW_006803925.1,3000001,4500000,3701554,75,0.0955,0.0798,0.0798,0.2938,0.4017,0.3769,0.4481,0.5985,0.6468
NW_006803925.1,4500001,6000000,5266436,75,0.0863,0.0638,0.1105,0.2801,0.389,0.4342,0.495,0.5264,0.6727
NW_006803925.1,6000001,7500000,6839319,60,0.1068,0.101,0.0804,0.3189,0.4235,0.38,0.4074,0.6007,0.606
NW_006803925.1,7500001,9000000,8243435,92,0.0965,0.0498,0.1026,0.2154,0.4011,0.3684,0.4399,0.5433,0.6677
NW_006803925.1,9000001,10500000,9790574,84,0.1067,0.0607,0.0903,0.267,0.4826,0.4242,0.4613,0.618,0.7018
NW_006803925.1,10500001,12000000,11229751,73,0.1189,0.0681,0.1206,0.3027,0.4168,0.3653,0.4661,0.4961,0.5975
NW_006803925.1,12000001,13500000,12752896,79,0.1094,0.1067,0.1224,0.2768,0.4142,0.4071,0.3393,0.4996,0.5595
NW_006803925.1,13500001,15000000,14212948,77,0.1096,0.0685,0.1144,0.3075,0.3929,0.2896,0.4819,0.4971,0.5271
NW_006803925.1,15000001,16500000,15530532,51,0.0879,0.1293,0.1071,0.4379,0.3777,0.3158,0.4704,0.5224,0.447
NW_006803926.1,1,1500000,672650,77,0.0774,0.0394,0.1019,0.2422,0.4104,0.521,0.5608,0.5723,0.7726
NW_006803926.1,1500001,3000000,2240040,80,0.0799,0.0763,0.0677,0.2312,0.3261,0.3631,0.3937,0.5863,0.6629
NW_006803926.1,3000001,4500000,3695134,73,0.0387,0.0551,0.085,0.2562,0.4824,0.4984,0.5687,0.6969,0.7575
NW_006803926.1,4500001,6000000,5258121,84,0.0895,0.0526,0.0649,0.2265,0.5216,0.4939,0.4582,0.7125,0.7876
NW_006803926.1,6000001,7500000,6701172,110,0.0617,0.0618,0.0831,0.2533,0.4146,0.4574,0.5031,0.6375,0.7285
NW_006803926.1,7500001,9000000,8344042,73,0.0835,0.1048,0.07,0.2276,0.3555,0.4034,0.3023,0.6015,0.6319
NW_006803926.1,9000001,10500000,9810173,86,0.0542,0.0617,0.0878,0.2453,0.457,0.4527,0.5041,0.6607,0.7196
NW_006803926.1,10500001,12000000,11244453,89,0.0994,0.0738,0.0948,0.2627,0.4197,0.417,0.4216,0.5723,0.6649
NW_006803926.1,12000001,13500000,12786628,94,0.0878,0.0546,0.0851,0.23,0.3994,0.3414,0.4585,0.5922,0.6652
NW_006803926.1,13500001,15000000,14196691,72,0.0889,0.075,0.0679,0.2836,0.332,0.2935,0.4585,0.5791,0.6024
NW_006803927.1,1,1500000,763650,66,0.1038,0.0736,0.1081,0.2304,0.4066,0.3546,0.3674,0.5282,0.5962
NW_006803927.1,1500001,3000000,2207770,70,0.1367,0.084,0.0853,0.3422,0.2834,0.3145,0.4447,0.4099,0.572
NW_006803927.1,3000001,4500000,3809349,92,0.0811,0.067,0.0949,0.2874,0.4118,0.4698,0.4996,0.5857,0.709
NW_006803927.1,4500001,6000000,5195718,98,0.0918,0.0824,0.0919,0.2461,0.4283,0.4017,0.3812,0.5933,0.6419
NW_006803927.1,6000001,7500000,6774582,82,0.0877,0.067,0.1005,0.2873,0.3518,0.282,0.4906,0.5137,0.5467
NW_006803927.1,7500001,9000000,8290872,92,0.1315,0.0508,0.0887,0.2822,0.4194,0.4109,0.4824,0.5521,0.7163
NW_006803927.1,9000001,10500000,9720278,72,0.084,0.0436,0.0841,0.1989,0.3883,0.3457,0.4603,0.5902,0.6967
NW_006803927.1,10500001,12000000,11192542,69,0.1273,0.0802,0.0601,0.2875,0.3621,0.3438,0.4012,0.5789,0.6518
NW_006803927.1,12000001,13500000,12798627,91,0.0835,0.0753,0.1164,0.2605,0.3677,0.3924,0.4347,0.4975,0.6127
NW_006803927.1,13500001,15000000,14247469,73,0.1039,0.0661,0.1396,0.167,0.3385,0.3392,0.2666,0.3986,0.5467
NW_006803928.1,1,1500000,703380,82,0.056,0.0752,0.1042,0.2038,0.334,0.3889,0.3873,0.5249,0.6278
NW_006803928.1,1500001,3000000,2288264,76,0.0766,0.0443,0.0994,0.1941,0.4247,0.3847,0.4624,0.5893,0.6966
NW_006803928.1,3000001,4500000,3711018,67,0.0888,0.0435,0.0687,0.2342,0.3938,0.3634,0.5108,0.629,0.7371
NW_006803928.1,4500001,6000000,5257438,78,0.0666,0.0699,0.097,0.1845,0.3774,0.4231,0.3541,0.5696,0.6732
NW_006803928.1,6000001,7500000,6802280,66,0.0693,0.0647,0.0653,0.2689,0.4269,0.4685,0.5011,0.6833,0.7534
NW_006803928.1,7500001,9000000,8295473,78,0.0641,0.0767,0.0937,0.301,0.452,0.5233,0.5037,0.6338,0.7202
NW_006803928.1,9000001,10500000,9763103,74,0.081,0.0569,0.1135,0.2884,0.4896,0.4012,0.5371,0.5981,0.6594
NW_006803928.1,10500001,12000000,11236413,82,0.0877,0.0691,0.0985,0.3379,0.3468,0.3832,0.538,0.5137,0.6445
NW_006803928.1,12000001,13500000,12669749,75,0.1026,0.0923,0.0662,0.3127,0.3571,0.3517,0.4271,0.5891,0.6217
NW_006803929.1,1,1500000,791330,79,0.0637,0.0927,0.0737,0.1819,0.4102,0.4268,0.2806,0.6568,0.6656
NW_006803929.1,1500001,3000000,2167208,78,0.0672,0.06,0.0914,0.1865,0.4272,0.4772,0.3949,0.6196,0.7301
NW_006803929.1,3000001,4500000,3763088,62,0.084,0.0357,0.0758,0.2176,0.4227,0.4623,0.5317,0.6366,0.7929
NW_006803929.1,4500001,6000000,5342278,67,0.0768,0.0781,0.1051,0.2034,0.3078,0.2581,0.3458,0.4692,0.4785
NW_006803929.1,6000001,7500000,6763786,79,0.0669,0.0695,0.1147,0.13,0.3899,0.3494,0.2263,0.5385,0.5895
NW_006803929.1,7500001,9000000,8278196,54,0.0378,0.0971,0.0745,0.1188,0.4021,0.4386,0.1644,0.68,0.6639
NW_006803929.1,9000001,10500000,9695068,84,0.1822,0.06,0.0748,0.341,0.4517,0.3912,0.4597,0.5554,0.7068
NW_006803929.1,10500001,12000000,11207341,60,0.0837,0.0309,0.1187,0.1189,0.4282,0.3843,0.327,0.5433,0.6943
NW_006803929.1,12000001,13500000,12473564,38,0.0962,0.0415,0.0783,0.2868,0.5466,0.452,0.5758,0.6879,0.7728
