scaffold,start,end,mid,sites,pi_concolor,pi_roumanicus,pi_europaeus,dxy_concolor_roumanicus,dxy_concolor_europaeus,dxy_roumanicus_europaeus,Fst_concolor_roumanicus,Fst_concolor_europaeus,Fst_roumanicus_europaeus
NW_006803924.1,750001,1500000,1180826,34,0.0294,0.1169,0.1019,0.3297,0.4682,0.5752,0.6486,0.7635,0.6914
NW_006803924.1,1500001,2250000,1814035,40,0.0994,0.0772,0.1568,0.1409,0.4892,0.5044,0.2386,0.5973,0.6353
NW_006803924.1,2250001,3000000,2669243,45,0.0853,0.052,0.0806,0.3341,0.5676,0.5327,0.6705,0.7547,0.7873
NW_006803924.1,3000001,3750000,3407453,33,0.1286,0.0404,0.1114,0.3562,0.3773,0.5132,0.6285,0.5302,0.7521
NW_006803924.1,4500001,5250000,4847008,42,0.1417,0.0362,0.1229,0.362,0.4247,0.5378,0.6177,0.5378,0.752
NW_006803924.1,6000001,6750000,6313650,36,0.0946,0.0997,0.1035,0.2388,0.4655,0.5607,0.4343,0.6607,0.704
NW_006803924.1,6750001,7500000,7161275,40,0.0371,0.0657,0.153,0.2916,0.4438,0.4233,0.711,0.6589,0.6018
NW_006803924.1,8250001,9000000,8580544,32,0.0902,0.045,0.1305,0.336,0.4813,0.4796,0.6763,0.639,0.7016
NW_006803924.1,9000001,9750000,9405058,34,0.0663,0.0659,0.0467,0.1847,0.6072,0.6728,0.4855,0.837,0.8521
NW_006803924.1,9750001,10500000,10061415,33,0.0556,0.0546,0.1075,0.3539,0.4474,0.6296,0.7406,0.7025,0.7808
NW_006803924.1,10500001,11250000,10963257,37,0.0883,0.0703,0.0755,0.2022,0.5081,0.4793,0.4494,0.7326,0.7459
NW_006803924.1,11250001,12000000,11641902,42,0.1061,0.0742,0.0758,0.3582,0.4454,0.5101,0.61,0.6723,0.7533
NW_006803924.1,12000001,12750000,12410505,37,0.1488,0.0614,0.1094,0.2491,0.4968,0.4685,0.4191,0.5999,0.7025
NW_006803924.1,12750001,13500000,13153966,34,0.096,0.0992,0.1148,0.2602,0.4422,0.4905,0.467,0.627,0.6534
NW_006803924.1,13500001,14250000,13861551,39,0.1115,0.0753,0.1626,0.2975,0.455,0.3652,0.5349,0.5498,0.5214
NW_006803924.1,14250001,15000000,14621661,40,0.1323,0.098,0.0678,0.3221,0.4145,0.383,0.486,0.6232,0.6558
NW_006803924.1,15000001,15750000,15430515,40,0.1071,0.0936,0.0974,0.3745,0.3497,0.4214,0.5897,0.5601,0.6424
NW_006803924.1,15750001,16500000,16149664,39,0.0793,0.0458,0.1262,0.295,0.6634,0.4761,0.6615,0.7417,0.7048
NW_006803924.1,16500001,17250000,16920637,41,0.0881,0.0884,0.0572,0.3248,0.4786,0.6637,0.5852,0.7463,0.8103
