scaffold,start,end,mid,sites,pi_roumanicus,pi_europaeus,dxy_roumanicus_europaeus,Fst_roumanicus_europaeus
NW_006803924.1,59987,1199890,693370,50,0.0956,0.1395,0.3526,0.504
NW_006803924.1,1234855,1886572,1589848,50,0.054,0.1049,0.4341,0.6995
NW_006803924.1,1897890,2762757,2421829,50,0.0689,0.0787,0.4948,0.7394
NW_006803924.1,2766819,3532035,3152674,50,0.0553,0.0829,0.4024,0.7109
NW_006803924.1,3553035,4573057,4089308,50,0.0452,0.0903,0.3246,0.6645
NW_006803924.1,4589072,5617964,5005358,50,0.0481,0.0977,0.5052,0.7563
NW_006803924.1,5637012,6609276,6130804,50,0.0976,0.0967,0.5509,0.6965
NW_006803924.1,6617663,7458361,7046823,50,0.0529,0.0943,0.3768,0.6806
NW_006803924.1,7463677,8446032,7978563,50,0.0485,0.1034,0.3653,0.6667
NW_006803924.1,8451818,9344794,8872676,50,0.041,0.0849,0.3862,0.729
NW_006803924.1,9355220,10243050,9790199,50,0.0494,0.0596,0.6048,0.8347
NW_006803924.1,10280507,11270834,10852824,50,0.0284,0.0755,0.435,0.7977
NW_006803924.1,11287330,12114598,11695393,50,0.0478,0.0549,0.4695,0.8021
NW_006803924.1,12116242,12983887,12561519,50,0.0556,0.0881,0.3746,0.6832
NW_006803924.1,12988471,13816969,13413024,50,0.094,0.0622,0.4135,0.6709
NW_006803924.1,13818093,14628698,14250771,50,0.0714,0.1237,0.279,0.4896
NW_006803924.1,14666323,15590505,15113057,50,0.0433,0.1014,0.4119,0.7128
NW_006803924.1,15592464,16367485,15962789,50,0.0791,0.0828,0.3804,0.6462
NW_006803924.1,16378261,17171089,16796742,50,0.0413,0.062,0.4751,0.8069
NW_006803925.1,7157,1112270,575905,50,0.064,0.0463,0.4432,0.7709
NW_006803925.1,1118020,2238098,1754175,50,0.0566,0.0993,0.3797,0.6667
NW_006803925.1,2255251,3121138,2696764,50,0.0445,0.0458,0.3584,0.7737
NW_006803925.1,3132466,4114557,3607296,50,0.0935,0.072,0.3722,0.6272
NW_006803925.1,4119693,5149373,4645618,50,0.0795,0.1305,0.378,0.5717
NW_006803925.1,5166584,6271628,5695070,50,0.0498,0.0824,0.467,0.7572
NW_006803925.1,6280398,7480029,6922885,50,0.1111,0.0847,0.3603,0.5627
NW_006803925.1,7485172,8241131,7914894,50,0.0542,0.0953,0.3287,0.637
