param,mean,median,0.950_CI_LB,0.950_CI_UB
alpha_loc_0_pop_0,0.000312,0.000106,-0.057240,0.059140
alpha_loc_1_pop_0,0.000102,0.000028,-0.058702,0.059832
alpha_loc_2_pop_0,-0.001040,-0.000817,-0.060370,0.055847
alpha_loc_3_pop_0,-0.000451,-0.000364,-0.059341,0.057431
alpha_loc_4_pop_0,0.000393,0.000367,-0.057156,0.058705
alpha_loc_5_pop_0,0.000095,0.000408,-0.058082,0.058514
alpha_loc_6_pop_0,-0.000836,-0.000522,-0.060654,0.057573
alpha_loc_7_pop_0,0.000284,0.000017,-0.057362,0.058690
alpha_loc_8_pop_0,-0.000220,-0.000133,-0.059278,0.059112
alpha_loc_9_pop_0,-0.000068,0.000035,-0.059372,0.059527
alpha_loc_10_pop_0,-0.001479,-0.001006,-0.061502,0.055424
alpha_loc_11_pop_0,-0.000065,-0.000278,-0.058209,0.059937
alpha_loc_12_pop_0,0.001232,0.001149,-0.057185,0.060088
alpha_loc_13_pop_0,0.000638,0.000599,-0.058862,0.059144
alpha_loc_14_pop_0,-0.000596,-0.000410,-0.058600,0.057851
alpha_loc_15_pop_0,0.001023,0.001030,-0.058358,0.060006
alpha_loc_16_pop_0,-0.000888,-0.000940,-0.060763,0.056437
alpha_loc_17_pop_0,-0.000107,0.000036,-0.058524,0.058464
alpha_loc_18_pop_0,-0.000653,-0.000782,-0.059621,0.059524
alpha_loc_19_pop_0,-0.000149,-0.000488,-0.058458,0.059716
alpha_loc_20_pop_0,-0.000230,-0.000565,-0.059306,0.060742
alpha_loc_21_pop_0,-0.001031,-0.000700,-0.060350,0.057742
alpha_loc_22_pop_0,-0.000076,-0.000077,-0.060167,0.059717
alpha_loc_23_pop_0,0.000383,0.000065,-0.056885,0.061197
alpha_loc_24_pop_0,0.000181,-0.000239,-0.059175,0.058066
alpha_loc_25_pop_0,0.000152,-0.000236,-0.059161,0.059824
alpha_loc_26_pop_0,0.000120,0.000129,-0.058219,0.060326
alpha_loc_27_pop_0,0.002760,0.002766,-0.056825,0.062021
alpha_loc_28_pop_0,0.000044,-0.000174,-0.060317,0.059027
alpha_loc_29_pop_0,0.000544,0.000121,-0.057641,0.058563
alpha_loc_30_pop_0,-0.000035,-0.000068,-0.059312,0.059494
alpha_loc_31_pop_0,0.000280,0.000178,-0.059334,0.058631
