scaffold,start,end,mid,sites,pi_roumanicus,pi_europaeus,pi_concolor,dxy_roumanicus_europaeus,dxy_roumanicus_concolor,dxy_europaeus_concolor,Fst_roumanicus_europaeus,Fst_roumanicus_concolor,Fst_europaeus_concolor
NW_006803924.1,96869,4412545,2609358,110,0.0699,0.1001,0.0875,0.3887,0.2637,0.3527,0.6447,0.4515,0.5159
NW_006803924.1,4435767,7964776,6518212,110,0.0645,0.1025,0.0633,0.4566,0.248,0.4094,0.6959,0.4832,0.5852
NW_006803924.1,7971575,10229849,9180690,110,0.0399,0.0638,0.0603,0.5021,0.2399,0.449,0.8165,0.585,0.7102
NW_006803924.1,10243050,12950627,11440668,110,0.0499,0.0789,0.0768,0.4635,0.2364,0.4347,0.7603,0.5053,0.6445
NW_006803924.1,13044186,17030345,15522264,110,0.0521,0.0983,0.1094,0.3666,0.3103,0.4432,0.6684,0.5413,0.5718
NW_006803925.1,7157,2453228,1331904,110,0.0543,0.0707,0.0691,0.4071,0.2177,0.4345,0.7352,0.471,0.6739
NW_006803925.1,2474466,5876887,4688502,110,0.0662,0.1027,0.099,0.4087,0.2567,0.3739,0.6624,0.4386,0.5168
NW_006803925.1,5878404,9578310,7735260,110,0.0742,0.0894,0.0963,0.4053,0.3148,0.435,0.664,0.488,0.599
NW_006803925.1,9582860,12632148,11345045,110,0.0714,0.1247,0.1224,0.3697,0.2962,0.4417,0.5886,0.4437,0.5053
NW_006803925.1,12654660,14975280,13813130,110,0.0844,0.1153,0.1051,0.3478,0.2987,0.4155,0.5567,0.4294,0.5192
NW_006803926.1,35709,3368883,1714639,110,0.0577,0.0763,0.083,0.4915,0.2124,0.4728,0.7616,0.4251,0.6674
NW_006803926.1,3473722,6588068,4996382,110,0.0537,0.0704,0.0686,0.4785,0.2465,0.4747,0.7717,0.5165,0.6976
NW_006803926.1,6599355,9801721,8467064,110,0.0835,0.0822,0.0739,0.4421,0.2516,0.4024,0.6804,0.4091,0.6175
NW_006803926.1,9807417,14295906,11488115,110,0.0899,0.0826,0.0856,0.3829,0.2334,0.3758,0.6267,0.3482,0.5823
NW_006803927.1,22359,3481668,1961849,110,0.0889,0.1091,0.0952,0.3618,0.2533,0.3763,0.5707,0.3687,0.5087
