scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
NW_006803924.1,67777,5185297,2538861,110,108,1.5439,3.1209,-0.3381,-0.0925,-0.0597
NW_006803924.1,5278588,13960394,10453567,110,106,1.5612,1.3891,0.0583,0.0126,0.0083
NW_006803925.1,786674,8810103,5413806,110,109,0.1096,1.7853,-0.8843,-0.1058,-0.072
NW_006803926.1,158868,6170376,3201648,110,107,1.5989,2.1794,-0.1536,-0.037,-0.0263
NW_006803926.1,6189586,12206504,8945700,110,108,1.1464,0.5821,0.3264,0.041,0.0268
NW_006803927.1,46274,5776730,3072545,110,108,1.6361,1.0421,0.2218,0.0469,0.0329
NW_006803927.1,5784581,10453821,8006464,110,109,0.7206,2.8607,-0.5976,-0.1219,-0.0728
NW_006803928.1,72910,6859856,2748901,110,110,1.5271,2.0047,-0.1352,-0.0313,-0.0216
NW_006803928.1,6867350,12112220,9828728,110,109,1.2063,1.0687,0.0605,0.0079,0.0056
NW_006803929.1,446292,5169818,2454194,110,109,0.4193,0.1457,0.4843,0.0159,0.0141
NW_006803930.1,711767,6663571,4414205,110,108,2.1944,2.5499,-0.0749,-0.0206,-0.0148
NW_006803931.1,78094,5687465,3172543,110,109,1.6747,1.8696,-0.055,-0.014,-0.0094
NW_006803931.1,5696881,10931274,7836356,102,102,1.1293,1.7489,-0.2153,-0.0437,-0.0315
NW_006803932.1,75924,4040498,1852146,110,108,0.4732,2.1861,-0.6441,-0.183,-0.0958
NW_006803932.1,4051822,7435233,5716881,110,108,1.8043,1.1771,0.2104,0.0339,0.026
NW_006803932.1,7438943,10713786,9057544,109,107,3.0948,1.461,0.3586,0.1405,0.0977
NW_006803933.1,314659,8424065,4396734,110,108,1.2549,0.0915,0.8641,0.0826,0.0703
NW_006803934.1,50385,7204278,1985753,110,107,1.6681,1.267,0.1367,0.0218,0.0155
NW_006803935.1,372443,7405909,3156436,110,108,0.2458,0.9884,-0.6017,-0.0555,-0.0339
NW_006803935.1,7411000,11029933,9308607,108,104,2.4648,1.9737,0.1106,0.0384,0.027
NW_006803936.1,7117,4651511,2270658,110,110,0.3284,1.2091,-0.5728,-0.0612,-0.0518
NW_006803936.1,4651864,9852064,7224197,110,108,0.2341,0.2687,-0.0688,-0.0034,-0.0023
NW_006803937.1,222823,7198821,4810776,110,109,1.1992,0.339,0.5593,0.0652,0.0497
NW_006803938.1,906985,9712183,5226051,110,110,1.2876,0.1464,0.7958,0.0795,0.0554
NW_006803939.1,23111,6009483,3126535,110,110,0.6737,1.2412,-0.2964,-0.0533,-0.0356
NW_006803940.1,118461,6237244,2392710,110,110,1.3824,4.8822,-0.5587,-0.2874,-0.1637
NW_006803941.1,817809,7621878,4854189,110,108,1.5819,0.385,0.6085,0.0781,0.0595
NW_006803942.1,477836,7797223,4387859,110,109,0.3249,0.0773,0.6156,0.0186,0.0147
NW_006803943.1,1183774,5670025,3491111,110,108,0.2683,0.0912,0.4925,0.016,0.0116
NW_006803944.1,108546,6706244,3392633,110,110,3.7454,2.1398,0.2728,0.089,0.0692
NW_006803945.1,77193,9074911,6162949,100,100,1.5378,0.0096,0.9876,0.0909,0.0706
NW_006803946.1,133210,3433481,1694679,110,109,2.119,1.3667,0.2158,0.038,0.0273
NW_006803947.1,1528022,5922387,3576811,110,110,0.3621,0.8077,-0.3809,-0.0335,-0.0254
NW_006803948.1,44517,6450142,3465741,110,109,1.5566,1.1186,0.1637,0.0239,0.0164
NW_006803949.1,238465,6582710,3026226,110,110,0.3654,0.2548,0.1784,0.0113,0.0084
NW_006803950.1,1353841,6781351,4953637,110,106,0.7551,0.2402,0.5173,0.0413,0.0244
NW_006803951.1,1202577,7165760,4056723,110,109,0.1789,1.0532,-0.7096,-0.0646,-0.0487
NW_006803953.1,22572,8111031,4424583,110,109,0.9132,1.1918,-0.1323,-0.0223,-0.0151
NW_006803954.1,82576,5226995,2254459,110,109,1.4824,1.1776,0.1146,0.0147,0.0113
NW_006803955.1,37321,3426746,1926407,110,109,0.3354,1.124,-0.5404,-0.0513,-0.0399
NW_006803956.1,117253,7539644,4888034,106,106,0.4042,2.2242,-0.6924,-0.1928,-0.1329
NW_006803957.1,64683,7301629,3819558,110,107,0.0741,0.5071,-0.7449,-0.0261,-0.0238
NW_006803958.1,20835,6235402,3911834,110,107,0.2521,1.1724,-0.6461,-0.0854,-0.0593
NW_006803959.1,563864,4957370,2587833,110,109,0.2908,0.1414,0.3457,0.0087,0.0067
NW_006803960.1,758209,6928264,4722829,110,110,0.6653,0.9857,-0.1941,-0.0307,-0.0202
NW_006803962.1,214816,5330718,2911914,110,109,1.0954,1.0773,0.0083,0.0013,0.0008
NW_006803964.1,210124,6498227,2765496,108,105,1.6211,0.1707,0.8094,0.0897,0.0649
NW_006803965.1,45868,3912609,1916039,110,107,0.4053,0.0234,0.8909,0.0265,0.0224
NW_006803966.1,31014,3880326,1525480,110,109,0.6446,0.8665,-0.1468,-0.0194,-0.0155
NW_006803967.1,48374,3256886,1825723,110,107,0.458,1.0771,-0.4033,-0.0614,-0.0463
NW_006803968.1,325459,4910978,2310106,110,109,0.4324,0.2287,0.3081,0.0142,0.0103
NW_006803969.1,1037777,6945705,4278331,110,108,0.5024,0.5228,-0.0199,-0.0014,-0.0011
NW_006803975.1,314615,5003698,2751861,110,105,1.2129,0.308,0.595,0.0631,0.0486
NW_006803976.1,15564,4345706,2198791,110,109,0.2175,0.1134,0.3148,0.0065,0.0052
NW_006803977.1,113635,6347274,2805203,110,109,0.3507,0.1638,0.3633,0.0248,0.0181
NW_006803978.1,6284,4520260,2560528,110,104,0.6332,3.4733,-0.6916,-0.1998,-0.1074
NW_006803983.1,157710,3321389,1480840,110,107,0.4926,1.0853,-0.3756,-0.0553,-0.044
NW_006803984.1,90733,4686908,1955313,101,101,1.2481,0.293,0.6197,0.0755,0.061
NW_006803985.1,55792,5376933,2932260,110,110,2.2758,0.0901,0.9238,0.1672,0.1159
NW_006803986.1,130761,4052402,2613904,110,107,0.5359,0.3581,0.199,0.0105,0.0079
NW_006803987.1,10353,5192447,2968095,110,110,0.6834,0.3666,0.3017,0.0218,0.0154
NW_006803989.1,24663,3605642,1962138,110,110,0.2843,0.0888,0.5241,0.0116,0.0094
NW_006803990.1,34839,4341906,2191761,110,108,3.3596,2.0289,0.247,0.1083,0.0844
NW_006803991.1,222932,4825016,3789326,110,108,1.3413,1.2092,0.0518,0.0099,0.0066
NW_006803992.1,410678,5071897,2916156,110,110,1.0977,1.2526,-0.0659,-0.0111,-0.0075
NW_006803998.1,180352,4141895,1828919,110,107,0.5579,0.0283,0.9035,0.0584,0.0442
NW_006804005.1,18387,4895283,2258799,110,107,0.9895,0.4679,0.3579,0.033,0.0243
NW_006804011.1,91934,3070372,1627790,110,110,0.5497,2.4508,-0.6336,-0.1533,-0.1065
NW_006804015.1,98686,5140969,2312577,102,100,0.4251,0.9824,-0.3959,-0.0429,-0.0256
NW_006804020.1,238690,4060310,2241663,110,108,1.1389,0.1197,0.8098,0.111,0.0765
NW_006804024.1,49339,4854409,2207310,110,110,0.3542,0.1521,0.3992,0.0207,0.0145
NW_006804026.1,53016,4666133,2508421,110,108,1.5094,0.0675,0.9143,0.159,0.0991
NW_006804030.1,23889,3691440,1710934,110,110,0.8067,0.2143,0.5803,0.0388,0.0294
NW_006804036.1,30974,3866252,1875523,110,108,0.779,0.968,-0.1082,-0.0136,-0.01
NW_006804043.1,440329,4035935,2080687,110,109,0.6184,0.6548,-0.0286,-0.0022,-0.0017
NW_006804044.1,35192,4508219,2114205,103,101,0.1947,0.1064,0.2932,0.0087,0.0064
NW_006804045.1,708197,3715710,2284830,110,108,0.969,0.3767,0.4402,0.0514,0.0356
NW_006804046.1,24720,2580249,1215511,110,110,0.3522,1.3391,-0.5835,-0.0627,-0.052
NW_006804051.1,81161,3382195,1920002,110,108,0.6815,2.1134,-0.5123,-0.1095,-0.079
NW_006804058.1,14278,4422604,2622896,110,109,0.6979,2.2041,-0.519,-0.087,-0.0651
NW_006804065.1,46469,3554800,1889429,110,110,0.5221,0.6598,-0.1166,-0.0102,-0.0063
NW_006804071.1,324227,4222911,2286523,110,109,2.6812,0.1766,0.8764,0.1356,0.1105
NW_006804074.1,55267,4087352,2275093,100,97,nan,nan,nan,nan,nan
NW_006804075.1,540684,4275209,2246990,110,109,0.075,0.4218,-0.6981,-0.0219,-0.016
NW_006804082.1,44382,4157075,2007061,100,98,nan,nan,nan,nan,nan
NW_006804084.1,6778,4032401,1863021,103,100,1.2822,1.003,0.1221,0.0212,0.0152
NW_006804105.1,31369,3832267,1760939,105,104,0.23,1.0572,-0.6427,-0.0818,-0.0697
NW_006804106.1,23744,3058396,1490925,110,107,0.458,0.3097,0.1931,0.017,0.0103
NW_006804116.1,7482,3733083,2007077,102,101,0.4597,0.1271,0.5669,0.0299,0.019
NW_006804118.1,151961,3621843,2056466,100,99,nan,nan,nan,nan,nan
NW_006804127.1,55222,3264012,1488127,110,107,0.2494,0.0352,0.7528,0.0158,0.0106
NW_006804132.1,708282,3526731,2111173,101,100,0.5394,0.6142,-0.0648,-0.0052,-0.004
NW_006804151.1,196718,3368428,1820054,102,97,nan,nan,nan,nan,nan
NW_006804161.1,58339,3192965,1761760,104,101,0.5268,0.4115,0.1229,0.0083,0.0071
NW_006804214.1,34268,2937664,1422629,110,108,0.4519,0.3646,0.107,0.0059,0.0037
