#Locus	GC%
loc626838	0.5151
loc190096	0.3469
loc689694	0.4519
loc531294	0.5714
loc597171	0.5179
loc545696	0.4956
loc597172	0.4555
loc792278	0.4465
loc453173	0.5481
loc621621	0.5784
loc181362	0.5249
loc114070	0.5099
loc471092	0.4697
loc337977	0.5692
loc258073	0.5100
loc874287	0.5483
loc232835	0.5855
loc412125	0.5526
loc617190	0.5554
loc783548	0.4870
loc314843	0.4807
loc380356	0.5029
loc78131	0.5371
loc652169	0.3910
loc879953	0.5069
loc851154	0.3918
loc489382	0.5528
loc201384	0.5551
loc574049	0.4847
loc480281	0.5205
loc222324	0.6263
loc787434	0.6000
loc51118	0.5448
loc489387	0.5190
loc359788	0.5800
loc870857	0.4069
loc787437	0.5649
loc773038	0.4952
loc630818	0.5012
loc821483	0.5395
loc738062	0.5851
loc371627	0.4688
loc272563	0.5274
loc835884	0.5530
loc855044	0.5469
loc712825	0.5100
loc340171	0.3646
loc562297	0.3312
loc231511	0.5536
loc782221	0.5199
loc128937	0.4645
loc560101	0.5371
loc361118	0.5485
loc263834	0.4671
loc177392	0.5247
loc462820	0.5348
loc132458	0.7093
loc882152	0.4846
loc331444	0.4998
loc780994	0.4227
loc766954	0.5776
loc93491	0.5563
loc409934	0.5152
loc82115	0.5607
loc384704	0.5267
loc379408	0.5292
loc175201	0.5702
loc141643	0.5517
loc136348	0.4818
loc285645	0.5253
loc79461	0.4298
loc687059	0.5405
loc119290	0.6014
loc168669	0.4192
loc173965	0.3686
loc665700	0.5523
loc70362	0.5828
loc575379	0.4350
loc788765	0.5371
loc521706	0.4107
loc665707	0.5369
loc312203	0.4992
loc747712	0.6247
loc461500	0.5123
loc811438	0.5075
loc877315	0.5376
loc874292	0.4777
loc474123	0.5471
loc808781	0.3113
loc653950	0.4765
loc478001	0.5040
loc330127	0.4481
loc765636	0.5452
loc570169	0.5156
loc621637	0.5986
loc488529	0.4960
loc362445	0.5333
loc136806	0.5134
loc93956	0.4296
loc284328	0.3333
loc476773	0.5585
loc462373	0.5256
loc334018	0.4038
loc851169	0.4545
loc119758	0.5703
loc384254	0.5042
loc630827	0.4396
loc288215	0.5663
loc123277	0.6092
loc293513	0.5155
loc137678	0.4748
loc205281	0.4543
loc792748	0.5554
loc162136	0.5370
loc340183	0.4452
loc293519	0.4440
loc66396	0.4893
loc128944	0.4129
loc548274	0.4431
loc631697	0.5432
loc231529	0.3876
loc262066	0.4503
loc864243	0.5295
loc702327	0.4720
loc697577	0.5457
loc443137	0.6478
loc878646	0.5629
