scaffold,start,end,mid,sites,pi_roumanicus,pi_europaeus,dxy_roumanicus_europaeus,Fst_roumanicus_europaeus
NW_006803924.1,67777,2904145,1666024,160,0.0692,0.1042,0.414,0.658
NW_006803924.1,542728,3085323,1908580,152,0.0694,0.1009,0.442,0.6806
NW_006803924.1,974227,3316551,2168864,150,0.0635,0.0896,0.4309,0.7011
NW_006803924.1,1137114,3560703,2356530,156,0.059,0.0882,0.4394,0.7168
NW_006803924.1,1449347,3754906,2570279,148,0.0567,0.0932,0.4462,0.7179
NW_006803924.1,1610246,4176703,2836782,150,0.0595,0.09,0.4272,0.7064
NW_006803924.1,1767113,4519136,3062804,156,0.058,0.0883,0.4071,0.6997
NW_006803924.1,1913345,4851650,3384840,166,0.0587,0.089,0.4249,0.7081
NW_006803924.1,2340829,5093496,3674002,164,0.0504,0.0893,0.4251,0.7246
NW_006803924.1,2531503,5432023,3887927,169,0.0465,0.0862,0.4274,0.7386
NW_006803924.1,2689397,5823534,4104582,167,0.0538,0.0858,0.4327,0.727
NW_006803924.1,2913589,6002383,4336256,154,0.0577,0.0863,0.4446,0.725
NW_006803924.1,3085706,6194877,4578828,158,0.0627,0.0873,0.4518,0.7177
NW_006803924.1,3354574,6307825,4812735,148,0.0641,0.0919,0.4658,0.7162
NW_006803924.1,3582711,6568739,5085432,145,0.0654,0.0931,0.456,0.7069
NW_006803924.1,3840084,6819730,5331285,149,0.0608,0.0935,0.4752,0.725
NW_006803924.1,4216179,7048501,5606179,145,0.0656,0.0935,0.4615,0.7089
NW_006803924.1,4522565,7210247,5869596,140,0.0663,0.0916,0.4723,0.7159
NW_006803924.1,4936088,7440811,6263526,126,0.0673,0.0901,0.4574,0.7083
NW_006803924.1,5157443,7605261,6494312,123,0.0717,0.1014,0.4444,0.677
NW_006803924.1,5458456,7848931,6730934,120,0.0793,0.096,0.4307,0.6618
NW_006803924.1,5851317,7980942,6945607,117,0.0674,0.1083,0.4093,0.6523
NW_006803924.1,6020310,8258811,7083574,120,0.0593,0.1114,0.3941,0.6528
NW_006803924.1,6196075,8477769,7346774,124,0.055,0.1042,0.3899,0.6697
NW_006803924.1,6322966,8768036,7581631,134,0.0487,0.1028,0.3765,0.6756
NW_006803924.1,6573002,8957608,7773042,133,0.0467,0.1042,0.3548,0.6611
NW_006803924.1,6825689,9116747,7961650,126,0.0482,0.099,0.3496,0.6626
NW_006803924.1,7061467,9287062,8146594,122,0.041,0.0997,0.3743,0.6962
NW_006803924.1,7212249,9542982,8378335,123,0.043,0.1,0.3925,0.7037
NW_006803924.1,7447963,9889287,8700603,134,0.0475,0.0889,0.4381,0.7381
NW_006803924.1,7612402,10186785,8912227,137,0.0443,0.0781,0.481,0.78
NW_006803924.1,7852937,10394402,9094544,137,0.0386,0.0806,0.4789,0.7867
NW_006803924.1,7981227,10655997,9266051,135,0.0385,0.0741,0.4919,0.8012
NW_006803924.1,8284493,10936046,9472881,138,0.0401,0.0713,0.4935,0.8025
NW_006803924.1,8480868,11138674,9789024,137,0.0424,0.076,0.4801,0.7864
NW_006803924.1,8850221,11310832,10061111,129,0.0435,0.0629,0.4956,0.8087
NW_006803924.1,8975280,11451818,10235373,127,0.0414,0.0633,0.5231,0.8212
NW_006803924.1,9148479,11570288,10379259,130,0.0419,0.0667,0.5253,0.8163
NW_006803924.1,9322883,11712620,10547393,128,0.0427,0.0669,0.5103,0.8097
NW_006803924.1,9543300,11851882,10750709,128,0.0407,0.0622,0.519,0.8226
NW_006803924.1,9902290,12009601,11065640,113,0.0384,0.068,0.4677,0.8011
NW_006803924.1,10208524,12327524,11353076,118,0.0457,0.0648,0.4269,0.7734
NW_006803924.1,10410817,12452602,11474711,113,0.0491,0.0597,0.4356,0.7781
NW_006803924.1,10696674,12642727,11644781,112,0.0448,0.0679,0.4392,0.7761
NW_006803924.1,10939371,12772149,11813711,112,0.0444,0.0663,0.4193,0.77
NW_006803924.1,11180548,12915070,12042608,102,0.0521,0.0727,0.4229,0.7454
NW_006803924.1,11321198,13128871,12213653,108,0.0548,0.0713,0.4015,0.7299
NW_006803924.1,11466533,13325093,12372482,109,0.0605,0.0672,0.4227,0.7361
NW_006803924.1,11574949,13480645,12509678,109,0.063,0.0701,0.3949,0.7101
NW_006803924.1,11723122,13645360,12664941,111,0.068,0.0714,0.4084,0.7059
NW_006803924.1,11913784,13854620,12897463,112,0.0702,0.0717,0.3965,0.6933
NW_006803924.1,12022673,13966485,13011893,111,0.0703,0.0802,0.396,0.6796
NW_006803924.1,12332503,14156575,13264332,104,0.0666,0.0981,0.4026,0.6643
NW_006803924.1,12486341,14400712,13484001,120,0.0639,0.1057,0.3485,0.6151
NW_006803924.1,12661348,14628679,13637951,121,0.0784,0.0933,0.3431,0.5994
NW_006803924.1,12775373,14831481,13820508,123,0.0846,0.0956,0.3581,0.5966
NW_006803924.1,12919325,15125540,14037955,133,0.0759,0.0904,0.3613,0.6254
NW_006803924.1,13144358,15423195,14234816,128,0.0738,0.0957,0.3699,0.6285
NW_006803924.1,13347542,15652363,14448304,134,0.0645,0.1047,0.3507,0.6176
NW_006803924.1,13508394,15862270,14692742,141,0.0689,0.0994,0.3528,0.6186
NW_006803924.1,13646866,16130255,14879928,149,0.0677,0.0932,0.3678,0.6439
NW_006803924.1,13867748,16343680,15100555,145,0.0656,0.1011,0.3608,0.6297
NW_006803924.1,14031247,16497765,15258048,148,0.0619,0.0968,0.3592,0.6432
NW_006803924.1,14189522,16763261,15435415,153,0.0613,0.0887,0.3733,0.6689
NW_006803924.1,14405569,16967678,15737642,146,0.0631,0.0804,0.4096,0.7028
NW_006803924.1,14666323,17171089,15957529,150,0.0544,0.0813,0.4246,0.7282
NW_006803924.1,14890279,17417470,16195332,146,0.0536,0.0761,0.4394,0.7455
NW_006803924.1,15141894,17418410,16317449,134,0.0527,0.0759,0.4436,0.7497
NW_006803925.1,750,3004198,1607808,143,0.0575,0.0658,0.3856,0.7234
NW_006803925.1,322199,3277411,1898130,145,0.0594,0.0648,0.3815,0.7181
NW_006803925.1,687767,3549856,2188126,146,0.0608,0.0739,0.3676,0.6904
NW_006803925.1,950335,3721676,2422519,139,0.0597,0.0775,0.3754,0.6923
NW_006803925.1,1339387,4108901,2727886,142,0.0662,0.0679,0.3557,0.6796
NW_006803925.1,1653047,4492721,3023694,147,0.0645,0.0728,0.3534,0.6733
NW_006803925.1,1923356,4886119,3363759,158,0.0729,0.0814,0.353,0.6397
NW_006803925.1,2238098,5149373,3640543,151,0.0713,0.0835,0.3669,0.651
NW_006803925.1,2453185,5492057,3936306,151,0.0708,0.0893,0.3843,0.6561
NW_006803925.1,2686706,5765329,4137807,155,0.0703,0.0893,0.3799,0.6537
NW_006803925.1,2852963,6024460,4397691,161,0.0692,0.0932,0.3952,0.6614
NW_006803925.1,3008131,6284291,4599351,157,0.0701,0.0922,0.4113,0.6721
NW_006803925.1,3327252,6606608,4883997,152,0.0706,0.1012,0.4078,0.6554
NW_006803925.1,3595897,6992053,5204944,155,0.0668,0.0954,0.4078,0.6714
NW_006803925.1,3739536,7114981,5356553,151,0.0743,0.0913,0.3943,0.6533
NW_006803925.1,4119418,7479740,5742944,149,0.0809,0.0985,0.4024,0.6355
NW_006803925.1,4513444,7856648,6135717,150,0.0733,0.1027,0.3985,0.6413
NW_006803925.1,4929437,8030205,6542841,143,0.0691,0.0868,0.3952,0.6713
NW_006803925.1,5156094,8235015,6834908,149,0.0706,0.0879,0.3864,0.6603
NW_006803925.1,5521226,8445406,7144573,150,0.072,0.0908,0.381,0.6488
NW_006803925.1,5773914,8727761,7397466,152,0.0682,0.0976,0.3802,0.6455
NW_006803925.1,6059061,8930654,7674590,148,0.0726,0.0948,0.3709,0.6334
NW_006803925.1,6298364,9372851,7937717,160,0.0675,0.0915,0.3813,0.6573
NW_006803925.1,6606888,9732542,8226326,169,0.0618,0.0942,0.3944,0.6742
NW_006803925.1,6996609,10085882,8556931,174,0.0609,0.0964,0.3854,0.6662
NW_006803925.1,7229623,10305738,8772909,185,0.0584,0.0972,0.3911,0.6744
NW_006803925.1,7480029,10530973,8974054,181,0.0545,0.0965,0.3983,0.6886
NW_006803925.1,7917835,10951199,9330113,181,0.0586,0.0854,0.4021,0.6998
NW_006803925.1,8032026,11279814,9586392,187,0.0606,0.0947,0.4165,0.6906
NW_006803925.1,8235971,11707257,9894709,187,0.0593,0.1032,0.3974,0.6675
NW_006803925.1,8489160,11894899,10167598,180,0.0602,0.107,0.3927,0.6568
NW_006803925.1,8747946,12296181,10492868,188,0.0726,0.1065,0.3974,0.636
NW_006803925.1,8968200,12525016,10711928,187,0.0687,0.1109,0.3997,0.6389
NW_006803925.1,9391691,12744898,11009505,179,0.0721,0.1169,0.3806,0.6084
NW_006803925.1,9769665,13115410,11362254,174,0.0823,0.1143,0.3808,0.5925
NW_006803925.1,10100364,13510192,11793631,177,0.086,0.1164,0.3898,0.5902
NW_006803925.1,10342018,13807234,12110764,173,0.0953,0.1242,0.393,0.5652
NW_006803925.1,10596989,14080430,12354298,178,0.0897,0.1316,0.392,0.564
NW_006803925.1,10977874,14382857,12723687,176,0.0883,0.137,0.3707,0.5394
NW_006803925.1,11296679,14785910,13111004,182,0.0859,0.1303,0.3574,0.5405
NW_006803925.1,11712511,15148441,13418292,180,0.0887,0.1258,0.3542,0.5388
NW_006803925.1,11940051,15518557,13680203,183,0.0936,0.1171,0.3582,0.5463
NW_006803925.1,12299718,15802911,14035076,177,0.0943,0.1146,0.3331,0.5226
NW_006803925.1,12584593,15998940,14260812,178,0.0978,0.11,0.3331,0.5229
NW_006803926.1,108017,2314848,1197261,116,0.051,0.0872,0.439,0.7339
NW_006803926.1,258076,2494288,1446560,114,0.0578,0.0801,0.4136,0.7167
NW_006803926.1,530983,2826208,1707513,121,0.0636,0.0805,0.4011,0.6962
NW_006803926.1,820054,3051386,1982611,115,0.0625,0.0765,0.4111,0.711
NW_006803926.1,1038521,3201025,2190005,117,0.07,0.077,0.4121,0.6955
NW_006803926.1,1230182,3623039,2448340,118,0.072,0.0737,0.4353,0.7102
NW_006803926.1,1575891,3873064,2639545,121,0.0742,0.0722,0.4317,0.706
NW_006803926.1,1711248,4038731,2857306,124,0.07,0.0768,0.4622,0.7243
NW_006803926.1,1966522,4308065,3044300,124,0.067,0.0828,0.4636,0.7223
NW_006803926.1,2113720,4529329,3225859,123,0.0624,0.0875,0.4574,0.721
NW_006803926.1,2218158,4809534,3494919,132,0.0724,0.0768,0.4901,0.7335
NW_006803926.1,2317819,4997986,3653524,136,0.0688,0.0774,0.5,0.7437
NW_006803926.1,2502241,5313314,3901983,139,0.0603,0.0728,0.4738,0.7537
NW_006803926.1,2851561,5559147,4182914,133,0.0562,0.0806,0.5088,0.7658
NW_006803926.1,3063240,5727426,4442912,135,0.0498,0.0806,0.489,0.7694
NW_006803926.1,3203811,5883195,4678725,137,0.0481,0.0733,0.4831,0.7804
NW_006803926.1,3646563,6124833,4949131,137,0.053,0.0665,0.4502,0.7662
NW_006803926.1,3885086,6376453,5241549,145,0.0532,0.0709,0.4469,0.7578
NW_006803926.1,4041837,6673080,5492984,153,0.0517,0.079,0.4452,0.748
NW_006803926.1,4323185,6743832,5653145,152,0.0547,0.0752,0.4534,0.7516
NW_006803926.1,4554706,6883834,5832817,153,0.0585,0.0768,0.4559,0.743
NW_006803926.1,4840027,6996915,6023226,143,0.0515,0.0868,0.4367,0.7322
NW_006803926.1,5005107,7255547,6219189,152,0.0517,0.0819,0.465,0.7533
NW_006803926.1,5321993,7409355,6406616,147,0.053,0.0826,0.4712,0.7526
NW_006803926.1,5579914,7618195,6534101,143,0.06,0.0755,0.4355,0.7314
NW_006803926.1,5728518,7941795,6690119,138,0.0708,0.0744,0.4378,0.7129
NW_006803926.1,5926335,8216513,6935746,138,0.0755,0.0789,0.441,0.6993
NW_006803926.1,6170376,8505424,7210329,141,0.0706,0.0876,0.4487,0.7008
NW_006803926.1,6432249,8760963,7510202,137,0.0778,0.0856,0.4325,0.6804
NW_006803926.1,6682928,9070174,7777826,134,0.0824,0.0734,0.4312,0.6881
NW_006803926.1,6747385,9232046,7941269,134,0.0797,0.0782,0.4279,0.6843
NW_006803926.1,6887720,9457265,8171390,132,0.0846,0.0776,0.4315,0.6782
NW_006803926.1,7029214,9722053,8363931,136,0.0795,0.077,0.4363,0.6915
NW_006803926.1,7275431,9948698,8697727,138,0.0749,0.0861,0.43,0.6836
NW_006803926.1,7438442,10135169,8912955,136,0.0794,0.0857,0.4507,0.6884
NW_006803926.1,7653860,10395740,9118885,146,0.0726,0.083,0.4429,0.7002
NW_006803926.1,7959145,10593199,9337211,153,0.0741,0.0836,0.4286,0.6881
NW_006803926.1,8239220,10815517,9555587,148,0.0679,0.0825,0.4577,0.7179
NW_006803926.1,8511911,10968120,9757348,139,0.0731,0.0785,0.4759,0.7232
NW_006803926.1,8775258,11133307,9989837,131,0.0736,0.0768,0.4509,0.7115
NW_006803926.1,9094941,11363285,10245768,134,0.0734,0.0892,0.459,0.6992
NW_006803926.1,9254672,11533193,10445508,140,0.0783,0.09,0.4498,0.6839
NW_006803926.1,9504881,11707633,10645559,137,0.0723,0.0875,0.4448,0.6955
NW_006803926.1,9741975,11982949,10824364,141,0.0738,0.0843,0.433,0.6903
NW_006803926.1,9955390,12126646,11050770,133,0.0849,0.0765,0.4013,0.6593
NW_006803926.1,10220305,12387172,11235851,129,0.0821,0.0846,0.3724,0.631
NW_006803926.1,10436086,12597394,11482927,126,0.0719,0.0884,0.3893,0.6587
NW_006803926.1,10635889,12883610,11758136,130,0.0634,0.0933,0.4153,0.6864
NW_006803926.1,10821399,13065190,11964590,135,0.0649,0.0892,0.3671,0.6555
NW_006803926.1,10968447,13275604,12141108,145,0.0629,0.092,0.3439,0.6364
NW_006803926.1,11162801,13513408,12334154,149,0.0567,0.0945,0.3615,0.6604
NW_006803926.1,11371558,13685675,12556813,145,0.0525,0.0839,0.3421,0.6728
NW_006803926.1,11573162,13996400,12812844,142,0.0482,0.0825,0.3289,0.6752
NW_006803926.1,11731049,14361850,13057349,150,0.0647,0.0773,0.3418,0.6559
NW_006803926.1,12004915,14643462,13241235,149,0.0663,0.0816,0.3294,0.6337
NW_006803926.1,12206504,14799566,13426530,148,0.0615,0.0787,0.311,0.6332
NW_006803926.1,12405736,15100168,13587525,150,0.0602,0.0764,0.3367,0.6637
NW_006803927.1,26868,2750486,1420966,126,0.0805,0.0977,0.3267,0.5715
NW_006803927.1,194452,2936765,1585388,125,0.0857,0.0932,0.3374,0.5785
NW_006803927.1,377727,3101730,1769695,128,0.0876,0.0958,0.3539,0.5864
NW_006803927.1,659705,3304464,1968532,127,0.0904,0.0985,0.3386,0.5615
NW_006803927.1,945296,3463695,2220363,123,0.0887,0.0901,0.3367,0.5766
NW_006803927.1,1201102,3839120,2518467,126,0.0729,0.0908,0.3703,0.6386
NW_006803927.1,1482704,4025564,2764011,126,0.0777,0.0911,0.3905,0.644
NW_006803927.1,1804075,4165343,2975290,121,0.0788,0.0928,0.4302,0.667
NW_006803927.1,1972110,4345730,3235771,124,0.0742,0.0897,0.4349,0.6829
NW_006803927.1,2308861,4523298,3562682,123,0.0731,0.0902,0.4465,0.6911
NW_006803927.1,2571717,4687574,3743935,128,0.084,0.0912,0.4575,0.6765
NW_006803927.1,2765116,4834904,3903599,125,0.0844,0.0823,0.4568,0.6874
NW_006803927.1,2943770,4975822,4052455,130,0.086,0.0853,0.4423,0.6717
NW_006803927.1,3107849,5233755,4249433,133,0.0854,0.0941,0.4439,0.6619
NW_006803927.1,3322771,5384203,4400560,137,0.083,0.0909,0.4377,0.6666
NW_006803927.1,3486840,5603016,4592129,141,0.0858,0.0929,0.4215,0.6478
NW_006803927.1,3856056,5776730,4786592,133,0.0827,0.0855,0.3969,0.6472
NW_006803927.1,4029752,6018495,4958478,135,0.0756,0.0915,0.4106,0.662
NW_006803927.1,4208175,6218389,5112661,134,0.0699,0.0946,0.3785,0.6453
NW_006803927.1,4346000,6376603,5263089,132,0.0733,0.0925,0.3525,0.6202
NW_006803927.1,4528462,6627651,5516915,128,0.0696,0.0993,0.3392,0.6049
