scaffold,start,end,mid,sites,pi_roumanicus,pi_europaeus,pi_concolor,dxy_roumanicus_europaeus,dxy_roumanicus_concolor,dxy_europaeus_concolor,Fst_roumanicus_europaeus,Fst_roumanicus_concolor,Fst_europaeus_concolor
NW_006803924.1,67777,2904145,1666024,160,0.0692,0.1042,0.073,0.414,0.2178,0.4305,0.658,0.4063,0.5865
NW_006803924.1,2913589,6002383,4336256,154,0.0577,0.0863,0.0957,0.4446,0.2738,0.3721,0.725,0.4963,0.5578
NW_006803924.1,6020310,8258811,7083574,120,0.0593,0.1114,0.0635,0.3941,0.2217,0.3991,0.6528,0.4654,0.5569
NW_006803924.1,8284493,10936046,9472881,138,0.0401,0.0713,0.057,0.4935,0.2218,0.4395,0.8025,0.5653,0.6887
NW_006803924.1,10939371,12772149,11813711,112,0.0444,0.0663,0.109,0.4193,0.2626,0.4147,0.77,0.5142,0.6268
NW_006803924.1,12775373,14831481,13820508,123,0.0846,0.0956,0.0951,0.3581,0.2479,0.384,0.5966,0.3731,0.5464
NW_006803924.1,14890279,17417470,16195332,146,0.0536,0.0761,0.0835,0.4394,0.2772,0.4492,0.7455,0.5336,0.6534
NW_006803925.1,750,3004198,1607808,143,0.0575,0.0658,0.0746,0.3856,0.2307,0.4176,0.7234,0.4688,0.6702
NW_006803925.1,3008131,6284291,4599351,157,0.0701,0.0922,0.0904,0.4113,0.2846,0.4071,0.6721,0.4735,0.5784
NW_006803925.1,6298364,9372851,7937717,160,0.0675,0.0915,0.1111,0.3813,0.2867,0.3994,0.6573,0.4582,0.5514
NW_006803925.1,9391691,12744898,11009505,179,0.0721,0.1169,0.1106,0.3806,0.259,0.4337,0.6084,0.4068,0.5252
NW_006803926.1,108017,2314848,1197261,116,0.051,0.0872,0.0809,0.439,0.2392,0.3739,0.7339,0.498,0.5743
NW_006803926.1,2317819,4997986,3653524,136,0.0688,0.0774,0.0448,0.5,0.2517,0.4526,0.7437,0.4987,0.6937
NW_006803926.1,5005107,7255547,6219189,152,0.0517,0.0819,0.075,0.465,0.2224,0.4493,0.7533,0.4797,0.6486
NW_006803926.1,7275431,9948698,8697727,138,0.0749,0.0861,0.0744,0.43,0.2483,0.4037,0.6836,0.4312,0.6081
NW_006803926.1,9955390,12126646,11050770,133,0.0849,0.0765,0.0868,0.4013,0.2737,0.3979,0.6593,0.4183,0.614
NW_006803926.1,12206504,14799566,13426530,148,0.0615,0.0787,0.0929,0.311,0.2494,0.3861,0.6332,0.4533,0.5918
NW_006803927.1,26868,2750486,1420966,126,0.0805,0.0977,0.1205,0.3267,0.2725,0.3498,0.5715,0.3882,0.4804
NW_006803927.1,2765116,4834904,3903599,125,0.0844,0.0823,0.085,0.4568,0.3021,0.4106,0.6874,0.4566,0.6108
NW_006803927.1,4847902,6956070,5843325,125,0.0552,0.1093,0.0966,0.3407,0.2413,0.363,0.6213,0.4599,0.4943
NW_006803927.1,7016729,9001039,8054962,120,0.0621,0.0886,0.1212,0.3792,0.3095,0.4226,0.6716,0.4902,0.5654
NW_006803927.1,9012173,11962728,10439104,137,0.0632,0.0655,0.105,0.3486,0.2413,0.371,0.6853,0.4177,0.5999
NW_006803927.1,11999220,14909625,13434785,165,0.0705,0.1256,0.0946,0.3668,0.2218,0.3556,0.5864,0.3763,0.4543
NW_006803928.1,1627,2487121,1175580,129,0.0691,0.1018,0.0561,0.3666,0.1903,0.3593,0.6261,0.3855,0.5541
NW_006803928.1,2563799,5261812,3892060,138,0.0381,0.0879,0.0833,0.3973,0.2178,0.3909,0.7373,0.5212,0.5839
NW_006803928.1,5275142,8312147,6827863,137,0.0861,0.0814,0.0703,0.4412,0.257,0.4072,0.6762,0.413,0.6272
NW_006803928.1,8368344,10460154,9341431,109,0.0572,0.0944,0.0704,0.4748,0.295,0.4948,0.7301,0.558,0.6509
NW_006803928.1,10562112,13563595,11959278,157,0.0811,0.0773,0.0953,0.3783,0.3324,0.3545,0.6489,0.4872,0.5656
NW_006803929.1,3954,2174834,1157716,123,0.0778,0.0824,0.062,0.4408,0.1944,0.396,0.6899,0.3526,0.6259
NW_006803929.1,2208384,5414430,3796846,128,0.0531,0.0902,0.0866,0.4229,0.2069,0.4187,0.7164,0.4283,0.5958
NW_006803929.1,5437676,8505673,6817580,146,0.081,0.1024,0.053,0.3571,0.1288,0.3713,0.5923,0.2112,0.5666
NW_006803929.1,8572776,10739692,9680351,119,0.0611,0.0798,0.1426,0.3784,0.2717,0.4323,0.6877,0.4176,0.5704
NW_006803930.1,14512,2928216,1587462,178,0.0885,0.1253,0.1239,0.3771,0.3331,0.3344,0.5616,0.4366,0.4007
NW_006803930.1,3020688,6047801,4650414,166,0.0945,0.1129,0.1123,0.3823,0.2807,0.4245,0.5731,0.3714,0.5243
