locus NW_006803924.1:1004515
7 0
19 0
15 0
7 0
12 0
13 0
11 0
6 0
10 0
5 0
7 0
16 0
16 0
locus NW_006803924.1:2879513
7 0
15 0
15 0
5 0
13 0
34 0
8 0
4 0
9 0
4 0
4 0
14 0
11 0
locus NW_006803924.1:5663849
17 0
10 0
17 0
6 0
20 0
21 0
5 0
6 0
15 0
4 0
6 0
5 0
5 0
locus NW_006803924.1:6119662
13 0
11 0
13 0
9 1
11 0
29 0
5 0
14 0
11 0
11 0
6 0
17 0
9 1
locus NW_006803924.1:7655028
12 0
10 0
17 0
5 1
10 0
19 0
11 0
21 0
14 0
8 0
7 0
8 0
7 0
locus NW_006803924.1:8539312
18 0
24 0
17 0
10 0
9 0
25 0
13 0
4 0
10 0
7 0
9 0
14 0
6 0
locus NW_006803924.1:8931720
14 0
20 0
13 0
9 0
13 0
21 0
9 0
11 0
10 0
5 0
4 0
0 9
12 0
locus NW_006803924.1:10773652
7 0
25 0
20 0
16 0
17 0
19 0
7 0
13 0
18 0
6 0
5 0
11 0
16 0
locus NW_006803924.1:11096411
9 0
11 0
14 0
6 0
5 0
21 0
9 0
25 0
5 0
4 0
4 0
5 0
9 0
locus NW_006803924.1:11647870
21 0
11 0
17 0
8 0
12 0
37 0
12 0
15 0
13 0
9 3
5 0
14 0
4 0
locus NW_006803924.1:15925994
7 0
15 0
20 0
8 0
9 0
19 0
9 7
11 0
16 0
8 0
6 0
12 0
7 0
locus NW_006803925.1:816280
11 0
9 0
8 0
4 2
0 7
10 14
4 6
0 10
6 0
8 0
0 4
6 0
6 0
locus NW_006803925.1:1167232
0 6
19 0
12 0
0 6
0 8
0 13
0 9
0 12
9 0
0 5
0 6
17 0
0 8
locus NW_006803925.1:1300842
16 0
18 0
25 0
11 0
11 0
17 0
7 0
21 0
19 0
4 1
7 0
14 0
11 0
locus NW_006803925.1:4045896
13 0
20 0
10 0
4 0
25 0
18 0
8 0
16 0
16 0
4 0
5 1
9 0
21 0
locus NW_006803925.1:6806438
0 17
6 10
0 10
0 12
0 7
0 18
0 5
0 8
10 0
0 8
0 7
7 0
0 4
locus NW_006803925.1:8119697
12 0
9 1
10 0
5 0
6 0
28 0
9 0
10 0
4 0
5 0
5 0
7 0
10 0
locus NW_006803925.1:9515250
14 1
15 0
14 0
6 0
4 0
25 0
9 0
6 0
10 0
6 0
4 0
6 0
9 0
locus NW_006803925.1:9793447
13 0
17 0
18 0
10 0
8 0
23 0
8 0
13 0
9 0
6 1
3 1
10 0
7 0
locus NW_006803925.1:10516816
9 0
9 0
18 0
11 0
16 0
30 0
7 0
10 1
9 0
4 0
6 0
11 0
12 0
locus NW_006803925.1:12979535
9 0
15 0
8 0
8 0
7 0
35 0
6 0
8 0
7 0
4 0
7 0
7 0
8 0
locus NW_006803925.1:13053708
7 0
12 0
10 0
5 0
9 0
9 0
4 0
13 0
7 0
7 0
5 0
8 0
7 0
locus NW_006803925.1:14730322
8 0
13 0
17 0
6 0
9 0
14 0
8 0
13 0
6 0
7 0
4 0
10 0
7 0
locus NW_006803925.1:15813543
7 1
13 1
11 0
5 0
6 0
20 0
14 0
18 0
6 0
8 0
4 0
8 0
17 0
locus NW_006803926.1:524749
10 0
12 0
16 0
7 0
7 2
31 0
22 0
17 0
8 0
6 0
10 0
