param,mean,median,0.950_CI_LB,0.950_CI_UB
beta_loc_0_pop_0,-0.000170,0.000662,-0.109646,0.103777
beta_loc_1_pop_0,-0.000675,-0.000910,-0.106937,0.106350
beta_loc_2_pop_0,-0.000555,-0.000780,-0.105685,0.106383
beta_loc_3_pop_0,-0.000055,-0.000092,-0.106684,0.108963
beta_loc_4_pop_0,-0.001732,-0.001187,-0.112726,0.105362
beta_loc_5_pop_0,-0.000350,-0.000720,-0.105878,0.107991
beta_loc_6_pop_0,0.001040,0.000812,-0.103053,0.107752
beta_loc_7_pop_0,-0.000679,-0.000439,-0.108097,0.101546
beta_loc_8_pop_0,0.000517,0.000318,-0.105449,0.110107
beta_loc_9_pop_0,0.001241,0.000459,-0.104708,0.112900
beta_loc_10_pop_0,-0.002731,-0.001669,-0.112824,0.099277
beta_loc_11_pop_0,-0.000327,-0.000496,-0.107299,0.105806
beta_loc_12_pop_0,-0.002625,-0.001166,-0.115853,0.101794
beta_loc_13_pop_0,-0.000572,-0.000038,-0.111254,0.102471
beta_loc_14_pop_0,0.000137,0.000019,-0.109025,0.105556
beta_loc_15_pop_0,-0.000655,-0.000512,-0.111925,0.103060
beta_loc_16_pop_0,-0.000308,-0.000026,-0.105234,0.107672
beta_loc_17_pop_0,0.000867,0.000670,-0.104808,0.106000
beta_loc_18_pop_0,0.000399,-0.000069,-0.106581,0.108077
beta_loc_19_pop_0,0.000063,0.000138,-0.110253,0.107224
beta_loc_20_pop_0,-0.001426,-0.000623,-0.113590,0.107285
beta_loc_21_pop_0,0.000377,0.000369,-0.103993,0.109703
beta_loc_22_pop_0,-0.000661,-0.000291,-0.103620,0.102740
beta_loc_23_pop_0,0.000076,-0.000393,-0.104722,0.111042
beta_loc_24_pop_0,-0.001171,-0.000801,-0.106957,0.102578
beta_loc_25_pop_0,0.000214,0.000650,-0.110185,0.105663
beta_loc_26_pop_0,0.000736,0.000043,-0.103789,0.109740
beta_loc_27_pop_0,0.000142,-0.000034,-0.108665,0.106980
beta_loc_28_pop_0,-0.001595,-0.000995,-0.113522,0.105127
beta_loc_29_pop_0,-0.000476,-0.000340,-0.111267,0.103730
beta_loc_30_pop_0,-0.000525,-0.000070,-0.108476,0.106915
beta_loc_31_pop_0,-0.001687,-0.001241,-0.108575,0.105489
beta_loc_32_pop_0,-0.000708,-0.000514,-0.107160,0.107414
beta_loc_33_pop_0,-0.003331,-0.001549,-0.114336,0.096878
beta_loc_34_pop_0,-0.012942,-0.007857,-0.144810,0.082271
beta_loc_35_pop_0,0.000051,0.000632,-0.108849,0.107203
beta_loc_36_pop_0,-0.000271,-0.000217,-0.109616,0.106789
beta_loc_37_pop_0,0.000148,-0.000709,-0.105013,0.111717
beta_loc_38_pop_0,0.000724,0.001283,-0.112311,0.110041
beta_loc_39_pop_0,-0.000084,-0.000035,-0.103880,0.110732
beta_loc_40_pop_0,-0.000802,-0.000789,-0.110140,0.106900
beta_loc_41_pop_0,-0.000472,-0.000867,-0.109782,0.112056
