scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
NW_006803924.1,67777,2904145,1676208,110,109,2.2504,2.2512,-0.0002,-0.0,-0.0
NW_006803924.1,542728,3085323,1923027,110,109,2.1254,0.8762,0.4162,0.0721,0.0471
NW_006803924.1,974227,3316551,2146224,110,109,1.7124,0.9598,0.2816,0.05,0.031
NW_006803924.1,1137114,3560703,2364775,110,108,1.8962,1.2789,0.1944,0.0371,0.0245
NW_006803924.1,1449347,3754906,2578309,110,109,1.8462,1.728,0.0331,0.0064,0.0044
NW_006803924.1,1610246,4176703,2806941,110,109,2.5544,1.7653,0.1827,0.0426,0.0301
NW_006803924.1,1767113,4519136,3051491,110,109,2.3044,1.7653,0.1325,0.0274,0.0204
NW_006803924.1,1913345,4851650,3315442,110,109,2.296,3.2463,-0.1715,-0.0488,-0.033
NW_006803924.1,2340829,5093496,3573334,110,109,2.0685,3.2539,-0.2227,-0.0574,-0.0391
NW_006803924.1,2531503,5432023,3832750,110,109,2.0451,3.1698,-0.2157,-0.0523,-0.0372
NW_006803924.1,2689397,5823534,4108635,110,109,1.0414,3.2494,-0.5146,-0.0978,-0.0753
NW_006803924.1,2913589,6002383,4393242,110,109,1.0414,3.4617,-0.5375,-0.1058,-0.0809
NW_006803924.1,3085706,6194877,4678506,110,108,1.1823,3.5572,-0.5011,-0.1041,-0.0792
NW_006803924.1,3354574,6307825,4955612,110,108,1.1716,3.4569,-0.4938,-0.0911,-0.0711
NW_006803924.1,3582711,6568739,5224648,110,109,1.0378,2.5305,-0.4183,-0.0589,-0.0475
NW_006803924.1,3840084,6819730,5501981,110,109,0.9878,2.0815,-0.3563,-0.0408,-0.034
NW_006803924.1,4216179,7048501,5764268,110,109,0.296,2.0736,-0.7502,-0.0715,-0.0596
NW_006803924.1,4522565,7210247,6013971,110,109,1.296,2.0736,-0.2308,-0.0318,-0.0255
NW_006803924.1,4936088,7440811,6245327,110,109,1.284,0.6318,0.3404,0.0271,0.0215
NW_006803924.1,5157443,7605261,6471131,110,109,2.2652,0.5985,0.582,0.0743,0.0588
NW_006803924.1,5458456,7848931,6692447,110,109,2.2373,0.5985,0.5779,0.0803,0.0614
NW_006803924.1,5851317,7980942,6901293,110,109,2.2073,0.4755,0.6455,0.0989,0.0728
NW_006803924.1,6020310,8258811,7096592,110,109,2.2073,0.2394,0.8043,0.1137,0.0886
NW_006803924.1,6196075,8477769,7304164,110,110,2.0664,0.1439,0.8698,0.1243,0.0949
NW_006803924.1,6322966,8768036,7517880,110,110,2.0664,0.1752,0.8437,0.1263,0.0907
NW_006803924.1,6573002,8957608,7743619,110,107,2.0164,0.1752,0.8401,0.1407,0.0973
NW_006803924.1,6825689,9116747,7958139,110,107,2.0164,0.1752,0.8401,0.1463,0.0992
NW_006803924.1,7061467,9287062,8166747,110,107,3.0141,0.1457,0.9077,0.196,0.1391
NW_006803924.1,7212249,9542982,8377373,110,107,2.0141,0.1457,0.865,0.1281,0.0954
NW_006803924.1,7447963,9889287,8599593,110,106,2.0245,0.0771,0.9267,0.1164,0.1032
NW_006803924.1,7612402,10186785,8832447,110,106,1.1343,2.0354,-0.2843,-0.0502,-0.041
NW_006803924.1,7852937,10394402,9063727,110,105,1.1343,2.0354,-0.2843,-0.0497,-0.0417
NW_006803924.1,7981227,10655997,9302209,110,105,2.0093,2.0159,-0.0016,-0.0003,-0.0003
NW_006803924.1,8284493,10936046,9550712,110,104,2.0093,2.0159,-0.0016,-0.0003,-0.0003
NW_006803924.1,8480868,11138674,9791237,110,104,2.0093,2.0159,-0.0016,-0.0003,-0.0003
NW_006803924.1,8850221,11310832,10032593,110,103,2.1343,1.9846,0.0363,0.0079,0.0067
NW_006803924.1,8975280,11451818,10259115,110,106,2.2593,2.0096,0.0585,0.0125,0.0106
NW_006803924.1,9148479,11570288,10485866,110,106,2.3593,2.0378,0.0731,0.0176,0.0147
NW_006803924.1,9322883,11712620,10705181,110,106,1.4279,2.0378,-0.176,-0.034,-0.0284
NW_006803924.1,9543300,11851882,10920015,110,106,1.6279,2.158,-0.14,-0.0283,-0.0226
NW_006803924.1,9902290,12009601,11123883,110,106,1.6175,3.1317,-0.3188,-0.0906,-0.0677
NW_006803924.1,10208524,12327524,11317804,110,106,1.5076,1.2028,0.1125,0.0206,0.0158
NW_006803924.1,10410817,12452602,11508606,110,107,1.5076,1.2028,0.1125,0.0201,0.0154
NW_006803924.1,10696674,12642727,11693222,110,106,0.6326,1.1765,-0.3006,-0.0379,-0.0284
NW_006803924.1,10939371,12772149,11864264,110,107,0.7326,1.1765,-0.2325,-0.0331,-0.0243
NW_006803924.1,11180548,12915070,12026286,110,107,0.8326,1.2028,-0.1819,-0.0262,-0.0195
NW_006803924.1,11321198,13128871,12184854,110,108,0.7076,1.2028,-0.2592,-0.0387,-0.0296
NW_006803924.1,11466533,13325093,12350573,110,107,0.5882,1.2739,-0.3683,-0.0536,-0.0389
NW_006803924.1,11574949,13480645,12521000,110,107,0.6132,1.2458,-0.3403,-0.049,-0.0363
NW_006803924.1,11723122,13645360,12695965,110,107,0.6511,1.2469,-0.3139,-0.053,-0.0335
NW_006803924.1,11913784,13854620,12872425,110,107,0.5448,1.3871,-0.436,-0.0747,-0.0471
NW_006803924.1,12022673,13966485,13050032,110,108,0.5448,0.4134,0.1372,0.0111,0.0075
NW_006803924.1,12332503,14156575,13222254,110,108,0.6546,0.5707,0.0685,0.0071,0.0047
NW_006803924.1,12486341,14400712,13396508,110,108,1.0296,0.5707,0.2868,0.0419,0.0263
NW_006803924.1,12661348,14628679,13572914,110,109,1.2891,0.8373,0.2125,0.0413,0.0259
NW_006803924.1,12775373,14831481,13757595,110,109,1.5704,0.8373,0.3045,0.0626,0.0383
NW_006803924.1,12919325,15125540,13958191,110,109,1.4704,0.811,0.289,0.0594,0.0356
NW_006803924.1,13144358,15423195,14168157,110,109,1.4704,0.8637,0.2599,0.0499,0.0293
NW_006803924.1,13347542,15652363,14380417,110,110,2.4648,0.7676,0.5251,0.1305,0.0823
NW_006803924.1,13508394,15862270,14594918,110,110,3.0382,0.8926,0.5458,0.1456,0.0953
NW_006803924.1,13646866,16130255,14818619,110,110,3.0309,0.9193,0.5346,0.1296,0.0882
NW_006803924.1,13867748,16343680,15043713,110,110,2.9371,0.6588,0.6336,0.1561,0.1007
NW_006803924.1,14031247,16497765,15273168,110,110,2.9371,0.6588,0.6336,0.1554,0.1004
NW_006803924.1,14189522,16763261,15504170,110,110,3.0273,1.4246,0.36,0.0953,0.0648
NW_006803924.1,14405569,16967678,15738762,110,110,2.7725,1.4246,0.3212,0.0781,0.0546
NW_006803924.1,14666323,17171089,15970703,110,110,2.513,1.1579,0.3692,0.071,0.0497
NW_006803924.1,14890279,17417470,16202117,110,110,2.2862,1.1956,0.3132,0.0543,0.0396
NW_006803924.1,15141894,17418410,16329544,101,101,2.2862,1.1956,0.3132,0.0561,0.0405
NW_006803925.1,750,3004198,1674489,110,105,1.4223,0.6849,0.35,0.0428,0.0298
