scaffold,start,end,mid,sites,pi_roumanicus,pi_europaeus,dxy_roumanicus_europaeus,Fst_roumanicus_europaeus
NW_006803924.1,96869,4412545,2609358,110,0.0699,0.1001,0.3887,0.6447
NW_006803924.1,4435767,7964776,6518212,110,0.0645,0.1025,0.4566,0.6959
NW_006803924.1,7971575,10229849,9180690,110,0.0399,0.0638,0.5021,0.8165
NW_006803924.1,10243050,12950627,11440668,110,0.0499,0.0789,0.4635,0.7603
NW_006803924.1,13044186,17030345,15522264,110,0.0521,0.0983,0.3666,0.6684
NW_006803925.1,7157,2453228,1331904,110,0.0543,0.0707,0.4071,0.7352
NW_006803925.1,2474466,5876887,4688502,110,0.0662,0.1027,0.4087,0.6624
NW_006803925.1,5878404,9578310,7735260,110,0.0742,0.0894,0.4053,0.664
NW_006803925.1,9582860,12632148,11345045,110,0.0714,0.1247,0.3697,0.5886
NW_006803925.1,12654660,14975280,13813130,110,0.0844,0.1153,0.3478,0.5567
NW_006803926.1,35709,3368883,1714639,110,0.0577,0.0763,0.4915,0.7616
NW_006803926.1,3473722,6588068,4996382,110,0.0537,0.0704,0.4785,0.7717
NW_006803926.1,6599355,9801721,8467064,110,0.0835,0.0822,0.4421,0.6804
NW_006803926.1,9807417,14295906,11488115,110,0.0899,0.0826,0.3829,0.6267
NW_006803927.1,22359,3481668,1961849,110,0.0889,0.1091,0.3618,0.5707
NW_006803927.1,3486923,6336882,4862046,110,0.0627,0.1033,0.3917,0.6565
NW_006803927.1,6347177,10406833,8403847,110,0.0512,0.0883,0.3585,0.6811
NW_006803927.1,10411511,13202915,12073764,110,0.0873,0.1049,0.3568,0.5754
NW_006803928.1,1677,4137711,2178021,110,0.0519,0.0934,0.3706,0.6797
NW_006803928.1,4174126,7726581,5770205,110,0.085,0.0864,0.4047,0.6469
NW_006803928.1,7763657,11414113,9367987,110,0.0643,0.1263,0.4019,0.6267
NW_006803929.1,3954,4460219,1937217,110,0.0959,0.0489,0.4582,0.7124
NW_006803929.1,4463118,7606445,6444232,110,0.0766,0.1133,0.3466,0.5743
NW_006803929.1,7607080,10954939,9381929,110,0.074,0.083,0.37,0.6483
NW_006803930.1,1733,2704538,1351489,110,0.0842,0.1203,0.3847,0.5836
NW_006803930.1,2717792,7124283,4768342,110,0.0903,0.1016,0.3583,0.5758
NW_006803930.1,7142236,10296051,8721165,110,0.0557,0.114,0.3126,0.584
NW_006803931.1,4343,3518063,1897823,110,0.0633,0.098,0.3612,0.6401
NW_006803931.1,3530194,7926681,5910839,110,0.0594,0.0906,0.3905,0.6824
NW_006803931.1,7928404,10786845,9694183,110,0.0567,0.0744,0.4783,0.7603
NW_006803932.1,30599,3685532,2093748,110,0.0519,0.0752,0.441,0.7511
NW_006803932.1,3697286,7900861,5972028,110,0.0578,0.0898,0.4562,0.726
NW_006803933.1,17114,3046402,1718803,110,0.0639,0.094,0.4948,0.7281
NW_006803933.1,3115176,5770889,4432721,110,0.0477,0.0981,0.3923,0.6964
NW_006803933.1,5803219,8988738,7244525,110,0.0651,0.0905,0.4135,0.6859
NW_006803933.1,9046443,10910493,9933724,103,0.0674,0.0889,0.3961,0.6723
NW_006803934.1,783,4525922,2771640,110,0.078,0.0813,0.4687,0.7068
NW_006803934.1,4560849,6692673,5706164,110,0.0494,0.1131,0.4067,0.6791
NW_006803934.1,6711158,9564004,8125083,110,0.0803,0.0763,0.3966,0.6654
NW_006803935.1,45635,4567659,2885168,110,0.0525,0.0922,0.4061,0.7044
NW_006803935.1,4582205,10901893,6542127,104,0.0621,0.0657,0.4211,0.7341
NW_006803936.1,20696,5845271,2928237,110,0.049,0.0959,0.455,0.7336
NW_006803936.1,5856318,8787360,7267735,110,0.0553,0.1056,0.4289,0.6927
NW_006803937.1,31308,2958310,1505832,110,0.0562,0.092,0.4243,0.7082
NW_006803937.1,3071328,7297653,5001657,110,0.0536,0.103,0.4926,0.7336
NW_006803937.1,7306209,10751454,9005076,109,0.0528,0.0778,0.4434,0.7467
NW_006803938.1,30915,3439249,1650529,110,0.0964,0.064,0.3954,0.651
NW_006803938.1,3488538,5956554,4806269,110,0.0535,0.071,0.4548,0.7608
NW_006803938.1,6005494,9928143,7827609,100,0.08,0.0805,0.4675,0.7035
NW_006803939.1,40511,3796887,1865582,110,0.0606,0.0985,0.4833,0.7225
NW_006803939.1,3832817,7363210,5576655,110,0.0592,0.0862,0.4368,0.718
NW_006803939.1,7372971,9920464,8687313,110,0.0597,0.0767,0.2973,0.6279
NW_006803940.1,4201,4156801,2107756,110,0.1,0.0911,0.4068,0.6136
NW_006803940.1,4159943,6542935,5187577,110,0.0832,0.0949,0.3806,0.6196
NW_006803941.1,27015,3232557,1198383,110,0.0727,0.1058,0.3989,0.6381
NW_006803941.1,3255016,5747298,4408917,110,0.0522,0.1263,0.3681,0.6237
NW_006803941.1,5764486,9706977,7748517,110,0.0832,0.0796,0.3445,0.6129
NW_006803942.1,41496,3423086,1809769,110,0.0636,0.114,0.3961,0.6418
NW_006803942.1,3431654,7439397,5231736,110,0.0468,0.0987,0.3853,0.6927
NW_006803943.1,118143,3123550,1500200,110,0.0588,0.0836,0.3239,0.643
NW_006803943.1,3143897,7010329,5079341,110,0.0766,0.1146,0.3595,0.5845
NW_006803944.1,7682,3043329,1871772,110,0.0752,0.0903,0.4287,0.6763
NW_006803944.1,3045372,8143607,5261177,110,0.0479,0.0989,0.4041,0.7024
NW_006803945.1,16530,3457240,1589604,110,0.0566,0.1039,0.432,0.6944
NW_006803945.1,3486967,6979227,5340481,110,0.0335,0.0932,0.3903,0.7347
NW_006803946.1,26054,4760465,2778807,110,0.0723,0.1085,0.4002,0.6358
NW_006803946.1,4765841,7718850,5967751,110,0.0703,0.0952,0.3644,0.6322
NW_006803947.1,7975,3198282,1544515,110,0.044,0.0924,0.4668,0.7541
NW_006803947.1,3233732,8874241,5816939,110,0.0516,0.0785,0.4192,0.7353
NW_006803948.1,279530,2813184,1507916,110,0.0921,0.1321,0.4484,0.6037
NW_006803948.1,2820338,7070067,4562668,110,0.1001,0.1134,0.3357,0.5161
NW_006803949.1,4199,4283249,2462095,110,0.0657,0.0552,0.4491,0.7569
NW_006803949.1,4304055,8591430,6624198,110,0.0492,0.0778,0.4877,0.7738
NW_006803950.1,28136,3031177,1546891,110,0.0725,0.0692,0.4575,0.7276
NW_006803950.1,3039269,6788042,4485264,110,0.0714,0.0848,0.3724,0.6528
NW_006803951.1,12792,2482825,1079419,110,0.0682,0.0847,0.4326,0.7001
NW_006803951.1,2510467,5387551,4072068,110,0.0515,0.0884,0.4396,0.7315
NW_006803953.1,83114,4435667,2197406,110,0.0622,0.0798,0.4823,0.7443
NW_006803953.1,4437649,7795597,5806970,110,0.0617,0.1184,0.444,0.6717
NW_006803954.1,3547,5386241,2966930,110,0.0537,0.0983,0.4638,0.7257
NW_006803955.1,188,5686471,3323129,110,0.0607,0.0843,0.4255,0.7113
NW_006803956.1,43665,3118981,1695561,110,0.076,0.0709,0.4054,0.6883
NW_006803956.1,3129126,6208602,4488077,110,0.0476,0.0597,0.4236,0.7758
NW_006803957.1,57712,2907209,1574843,110,0.0607,0.1134,0.4316,0.6728
NW_006803957.1,2915123,6607584,4367277,110,0.0615,0.0837,0.4613,0.73
NW_006803958.1,63452,3033926,1409008,110,0.0446,0.0983,0.4398,0.7307
NW_006803958.1,3049548,6442519,5005051,110,0.0679,0.0719,0.4491,0.7283
NW_006803959.1,35621,5132230,2731507,110,0.0864,0.0737,0.394,0.6554
NW_006803960.1,19578,4134949,1717545,110,0.0518,0.0966,0.4549,0.7271
NW_006803961.1,208042,3094803,1349458,110,0.0483,0.1032,0.475,0.7347
NW_006803961.1,3122834,5816089,4683098,110,0.0969,0.1032,0.3717,0.573
NW_006803962.1,5363,2730597,1727654,110,0.0635,0.0961,0.3563,0.6386
NW_006803962.1,2763721,6888511,4486641,104,0.0558,0.0902,0.4847,0.7431
NW_006803963.1,352913,4050765,2742913,110,0.1026,0.1093,0.381,0.5622
NW_006803963.1,4139997,6478992,5263467,110,0.0753,0.0948,0.3924,0.6446
NW_006803964.1,21957,3563343,1824660,110,0.0452,0.1055,0.427,0.7117
NW_006803964.1,3594513,5730728,4706101,110,0.1009,0.0998,0.3334,0.5329
NW_006803965.1,2384,5157622,2598451,110,0.0376,0.0875,0.4966,0.7859
NW_006803966.1,899,5152074,2987140,110,0.084,0.0817,0.4372,0.6772
NW_006803967.1,882,4803552,2454552,110,0.0825,0.0939,0.4158,0.6488
NW_006803967.1,4991151,6724997,5792345,106,0.0964,0.1006,0.3537,0.5613
NW_006803968.1,5622,3732805,1912168,110,0.0699,0.0839,0.4709,0.7191
NW_006803969.1,36634,4115412,2073700,110,0.0545,0.0859,0.4001,0.7063
NW_006803969.1,4145373,7130737,5424584,110,0.045,0.1049,0.5134,0.7559
NW_006803970.1,17270,2274509,1222381,110,0.0548,0.0926,0.4315,0.7144
NW_006803970.1,2337229,5304318,3968024,110,0.0439,0.0904,0.4366,0.7423
NW_006803971.1,12512,5048213,2298630,110,0.0765,0.1054,0.4269,0.6514
NW_006803972.1,1431,2652464,1436128,110,0.0904,0.0975,0.3888,0.6083
NW_006803972.1,2668064,5589391,4129219,110,0.0889,0.098,0.4058,0.6238
NW_006803973.1,3802,2684565,1304053,110,0.067,0.1021,0.4536,0.6902
NW_006803973.1,2731605,5168702,3941386,110,0.0554,0.0783,0.3787,0.7027
NW_006803974.1,14621,4148701,2038113,110,0.0657,0.1504,0.3917,0.5811
NW_006803975.1,20496,5276412,2484868,110,0.0617,0.0842,0.3629,0.6675
NW_006803976.1,108006,5044466,2898569,110,0.0692,0.1172,0.4132,0.6388
NW_006803977.1,6912,5459010,3101919,110,0.0502,0.0874,0.4686,0.7499
NW_006803978.1,66322,3513409,1736970,110,0.073,0.0641,0.4001,0.7017
NW_006803979.1,70765,3353055,1923383,110,0.0447,0.0998,0.3882,0.6974
NW_006803979.1,3354569,6513014,4899215,106,0.0437,0.0652,0.3643,0.7434
NW_006803980.1,17476,4457043,2660174,110,0.0462,0.079,0.4558,0.7641
NW_006803981.1,10348,4556893,1857157,110,0.0595,0.0858,0.4148,0.7051
NW_006803982.1,4705,3636478,2325306,110,0.0752,0.0886,0.4624,0.6986
NW_006803982.1,3682651,6164498,4957775,110,0.1155,0.067,0.3278,0.549
NW_006803983.1,6360,3681450,2030899,110,0.0655,0.0914,0.4537,0.7078
NW_006803984.1,11683,4780566,2765413,110,0.0479,0.0813,0.4475,0.7534
NW_006803985.1,10914,2359550,1232750,110,0.0721,0.0881,0.3332,0.6125
NW_006803986.1,10223,4730953,2063051,110,0.0433,0.0929,0.421,0.7313
NW_006803987.1,171501,3356292,1742143,110,0.0449,0.1078,0.387,0.6833
NW_006803989.1,1239,3874058,1706104,110,0.0525,0.0987,0.4462,0.718
NW_006803990.1,9650,4101657,2231704,110,0.0657,0.1051,0.3534,0.6167
NW_006803991.1,299,3351038,1604666,110,0.0745,0.0733,0.3861,0.6746
NW_006803992.1,30462,5101310,2105926,110,0.0956,0.0708,0.391,0.6392
NW_006803993.1,48623,2365059,1274502,110,0.0931,0.072,0.3996,0.6487
NW_006803994.1,34681,4834867,2407372,110,0.0549,0.115,0.4408,0.6872
NW_006803995.1,1580,3132418,1745448,110,0.0436,0.0726,0.4188,0.7614
NW_006803995.1,3246008,5631867,4312199,101,0.0847,0.0821,0.333,0.5947
NW_006803996.1,11287,3087912,1792985,110,0.0557,0.1011,0.4183,0.692
NW_006803998.1,2915,4547241,1999530,110,0.0419,0.0816,0.4417,0.7623
NW_006803999.1,31276,3731531,1849495,110,0.0918,0.0862,0.3561,0.5947
NW_006804000.1,1008,3953127,2153761,110,0.0501,0.0892,0.3567,0.6807
NW_006804001.1,50582,4384504,2715503,110,0.0481,0.0965,0.4133,0.7113
NW_006804002.1,97100,3992829,1606391,110,0.0503,0.0942,0.4203,0.7145
NW_006804003.1,6975,3824614,1927983,110,0.1448,0.0534,0.2578,0.4214
NW_006804004.1,45363,3371185,1897579,110,0.0738,0.0888,0.3667,0.637
NW_006804005.1,36995,3725322,1739603,110,0.0574,0.0819,0.3643,0.6823
NW_006804006.1,26615,3766103,2434802,110,0.0735,0.0857,0.4087,0.6732
NW_006804007.1,4184,3012565,1281662,110,0.0583,0.1188,0.3261,0.5839
NW_006804008.1,41801,2836002,1537102,110,0.0701,0.0836,0.3896,0.6702
NW_006804008.1,2844677,5439979,4232074,106,0.0361,0.1308,0.4433,0.7019
NW_006804009.1,11730,2846824,1296910,110,0.0881,0.105,0.3694,0.5851
NW_006804010.1,200489,2717606,1243356,110,0.094,0.1145,0.3421,0.5332
NW_006804011.1,171420,4125615,2542305,110,0.0619,0.1051,0.3867,0.6517
NW_006804012.1,22834,3629141,1900059,110,0.0684,0.1173,0.3315,0.5698
NW_006804013.1,49292,5371793,2030492,106,0.1016,0.1513,0.3117,0.4273
NW_006804015.1,101341,3436255,2051903,110,0.0617,0.0826,0.3878,0.6882
NW_006804016.1,695,3577383,1993051,110,0.1013,0.1195,0.3434,0.5129
NW_006804017.1,14146,4237086,2055960,110,0.0462,0.1055,0.4862,0.7407
NW_006804018.1,12857,2842371,1353906,110,0.0554,0.0858,0.4496,0.733
NW_006804019.1,47135,4482496,2448173,110,0.0562,0.0748,0.3797,0.7075
NW_006804020.1,16943,4516987,2206046,110,0.0871,0.0868,0.3522,0.6001
NW_006804021.1,27172,2822863,1795755,110,0.066,0.0964,0.4099,0.673
NW_006804022.1,46438,4404558,2581143,110,0.0473,0.1046,0.3933,0.6876
NW_006804023.1,29301,1559579,883382,110,0.0866,0.1189,0.3715,0.5695
NW_006804023.1,1599876,3437010,2550074,110,0.0873,0.1069,0.4169,0.6225
NW_006804024.1,41322,4654821,2465848,110,0.0414,0.0925,0.4361,0.744
NW_006804025.1,8266,3680709,1958620,110,0.0787,0.0987,0.3942,0.6334
NW_006804026.1,17318,4065304,2056412,110,0.0469,0.1053,0.4092,0.6978
NW_006804027.1,23106,3825324,1886037,110,0.1126,0.1259,0.3104,0.4432
NW_006804028.1,2003,3618692,1836022,110,0.0712,0.0914,0.4688,0.7055
NW_006804029.1,79631,3382877,1662139,110,0.0848,0.0931,0.3959,0.6312
NW_006804030.1,105842,5080175,3059166,104,0.0564,0.0887,0.3828,0.6864
NW_006804031.1,58037,3857353,2057706,110,0.0715,0.0814,0.4547,0.7111
NW_006804032.1,15121,4928105,2567454,110,0.0727,0.1059,0.4396,0.666
NW_006804033.1,41973,2218082,933443,110,0.0664,0.0898,0.3517,0.639
NW_006804033.1,2219788,4791756,3318657,106,0.0716,0.0941,0.3362,0.6063
NW_006804034.1,24473,2810270,1346921,110,0.0489,0.0871,0.4666,0.752
NW_006804035.1,10470,4037839,2178452,110,0.046,0.1125,0.4435,0.7092
NW_006804036.1,99526,4186671,2465884,101,0.0362,0.0737,0.3745,0.7526
NW_006804037.1,14614,4935468,2225639,107,0.0714,0.081,0.3708,0.6579
NW_006804038.1,161398,2429956,1240333,110,0.0657,0.1083,0.3063,0.5644
NW_006804039.1,51145,3616019,1855656,110,0.0702,0.0807,0.4482,0.7109
NW_006804040.1,32432,2984974,1407893,110,0.0768,0.0698,0.3856,0.675
NW_006804041.1,2868,3262105,1703081,110,0.0606,0.1151,0.4613,0.6885
NW_006804042.1,68036,3473917,1746678,110,0.047,0.0829,0.3944,0.7238
NW_006804044.1,418332,4432729,2519615,110,0.0407,0.0967,0.4162,0.7283
NW_006804047.1,12612,1884326,1061612,110,0.0496,0.0739,0.4504,0.7623
NW_006804048.1,9068,3023395,1533737,110,0.0708,0.1126,0.4032,0.6351
NW_006804049.1,34858,2376155,1139993,110,0.061,0.1225,0.5144,0.7065
NW_006804049.1,2387012,4494699,3494031,106,0.0442,0.1453,0.5026,0.7003
NW_006804050.1,21717,2541189,1285910,110,0.0692,0.0893,0.4332,0.6919
NW_006804051.1,12013,4056185,2000488,110,0.0617,0.0943,0.4238,0.6935
NW_006804052.1,14722,2965184,1440383,110,0.0418,0.1027,0.4103,0.7131
NW_006804053.1,3079,2399674,1346824,110,0.0965,0.0749,0.398,0.6367
NW_006804055.1,27111,4458661,2700026,110,0.0474,0.0922,0.3937,0.7073
NW_006804058.1,76654,4538388,2078700,102,0.0751,0.1017,0.4533,0.6758
NW_006804059.1,11319,3511335,1984744,110,0.0452,0.0781,0.4944,0.7837
NW_006804060.1,24106,3545396,1788577,110,0.0554,0.1477,0.4757,0.6632
NW_006804061.1,6216,3198754,1340369,110,0.0374,0.066,0.3658,0.7586
NW_006804063.1,111631,2525949,1239783,110,0.0841,0.0754,0.4333,0.6834
NW_006804064.1,2475,3112979,1614077,110,0.0777,0.0841,0.28,0.5493
NW_006804066.1,23072,2642119,1401014,110,0.0511,0.0864,0.3906,0.7069
NW_006804067.1,3777,4404848,2297524,105,0.0399,0.0906,0.3869,0.7224
NW_006804068.1,2768,3306964,1678953,110,0.0463,0.0722,0.4443,0.7688
NW_006804069.1,833,3188177,1506926,110,0.0534,0.1052,0.4048,0.6816
NW_006804070.1,24817,2348084,998237,110,0.0944,0.0964,0.4556,0.6503
NW_006804072.1,27742,2230381,998904,110,0.0654,0.098,0.4235,0.6807
NW_006804073.1,32661,2782308,1440328,110,0.0886,0.0932,0.4447,0.6577
NW_006804074.1,19216,3549970,1726931,110,0.0382,0.1123,0.4414,0.7239
NW_006804075.1,37436,3466027,2014273,110,0.0558,0.0997,0.392,0.6766
NW_006804077.1,8333,3134400,1675793,110,0.0444,0.0808,0.4049,0.7391
NW_006804078.1,1432,4279692,2472400,100,0.0702,0.0812,0.446,0.709
NW_006804079.1,8577,2329617,1357095,110,0.0615,0.1034,0.4006,0.6651
NW_006804080.1,20801,3911645,1960912,110,0.0531,0.1031,0.4288,0.7007
NW_006804081.1,99759,3693864,1824732,110,0.062,0.0991,0.3364,0.6194
NW_006804082.1,15198,3689377,1817012,110,0.0726,0.0823,0.4176,0.686
NW_006804083.1,961,2976933,1635468,110,0.1112,0.1012,0.3922,0.5676
NW_006804086.1,32584,2641743,1272865,110,0.0559,0.1153,0.4102,0.665
NW_006804087.1,5904,3334438,1553053,110,0.0804,0.1145,0.3812,0.5962
NW_006804088.1,1133,2978722,1789670,110,0.0613,0.0999,0.4393,0.6957
NW_006804089.1,15159,4078095,1560001,105,0.0466,0.1011,0.4237,0.7137
NW_006804090.1,44527,3689485,1869302,110,0.051,0.0739,0.4018,0.7342
NW_006804091.1,44927,2711873,1528555,110,0.0672,0.0735,0.3695,0.6782
NW_006804092.1,106972,3938539,2046763,105,0.077,0.0962,0.4104,0.6521
NW_006804094.1,16641,2779551,1311575,110,0.0414,0.0885,0.3452,0.6938
NW_006804095.1,10892,2840091,1506611,110,0.0492,0.1004,0.4213,0.7078
NW_006804096.1,18902,2789686,1140117,110,0.0654,0.1209,0.4305,0.6527
NW_006804097.1,55736,3818893,1524556,110,0.0672,0.0975,0.3535,0.626
NW_006804098.1,28287,3963087,2057074,103,0.0863,0.0917,0.3253,0.5677
NW_006804099.1,24542,3014555,1703918,110,0.0771,0.0815,0.4851,0.7167
NW_006804100.1,78248,3480481,1934909,110,0.0576,0.0857,0.3828,0.6885
NW_006804101.1,9220,2273198,1120737,110,0.0785,0.0874,0.4628,0.6944
NW_006804102.1,12100,3182906,1494885,110,0.0584,0.1014,0.4635,0.7125
NW_006804104.1,42515,3804483,1966175,103,0.0555,0.1313,0.5069,0.7009
NW_006804105.1,114540,4025714,2268116,106,0.0521,0.0822,0.4809,0.7594
NW_006804107.1,93851,3567184,1656603,106,0.0513,0.119,0.4533,0.6958
NW_006804108.1,9246,2684871,1421473,110,0.0523,0.1102,0.3232,0.6098
NW_006804111.1,19542,3177606,1740353,110,0.0539,0.1066,0.377,0.6587
NW_006804116.1,50769,3805800,2023392,106,0.0593,0.0988,0.4971,0.7312
NW_006804117.1,15792,2338130,1303901,110,0.0996,0.0895,0.321,0.5384
NW_006804119.1,18400,2245714,1197216,110,0.1102,0.0989,0.3933,0.5736
NW_006804120.1,1497,3800145,1898301,108,0.0791,0.1035,0.3879,0.6206
NW_006804122.1,3788,2684188,1217400,110,0.0777,0.0834,0.3362,0.6109
NW_006804123.1,27701,3509850,1626708,108,0.08,0.0856,0.384,0.6428
NW_006804124.1,14856,2894618,1321885,110,0.0505,0.0792,0.3989,0.725
NW_006804129.1,88608,3706680,1960317,101,0.0846,0.1175,0.3656,0.5699
NW_006804135.1,24310,2755329,1555659,110,0.0382,0.1059,0.4161,0.7191
NW_006804136.1,6989,2108539,1042727,110,0.0645,0.1239,0.3731,0.6066
NW_006804138.1,1895,2412339,1104939,110,0.08,0.0954,0.329,0.5789
NW_006804140.1,17382,3584663,1541615,110,0.0788,0.0953,0.3652,0.6149
NW_006804141.1,105063,3459068,1836316,110,0.0481,0.0969,0.4169,0.713
NW_006804144.1,5907,3120404,1403812,110,0.1127,0.1317,0.3406,0.4711
NW_006804146.1,130029,3471635,1769339,100,0.0687,0.0864,0.4591,0.7117
NW_006804147.1,34695,3254938,1818082,109,0.0852,0.0939,0.4755,0.6812
NW_006804148.1,1362,2706209,1005507,110,0.053,0.0934,0.3963,0.6952
NW_006804150.1,554,3297323,1648665,103,0.0789,0.1055,0.379,0.6107
NW_006804152.1,858,3272387,1768743,104,0.0402,0.0845,0.503,0.7875
NW_006804153.1,7690,2660900,1121034,110,0.0891,0.0982,0.2772,0.4928
NW_006804154.1,24799,2925833,1504927,110,0.059,0.1039,0.4093,0.6753
NW_006804155.1,34924,2099513,1054278,110,0.0596,0.0979,0.4098,0.6836
NW_006804156.1,52630,3136654,1627680,110,0.0585,0.1218,0.371,0.6202
NW_006804159.1,58114,3157390,1956026,110,0.0671,0.1003,0.4024,0.6599
NW_006804160.1,3716,3048765,1894388,110,0.0356,0.0941,0.4178,0.7442
NW_006804165.1,10852,3136252,1703507,105,0.0364,0.0955,0.425,0.7441
NW_006804173.1,30554,3057234,1615587,106,0.0419,0.0642,0.3493,0.7404
NW_006804174.1,1422,3249602,1498641,105,0.0771,0.0878,0.4092,0.6634
NW_006804175.1,24111,2979510,1300814,110,0.0689,0.0875,0.3603,0.6444
NW_006804176.1,40079,2554877,1324372,110,0.0396,0.083,0.4826,0.7828
NW_006804177.1,2948,2880574,1422996,110,0.0711,0.077,0.3793,0.6713
NW_006804184.1,16838,2860431,1514147,110,0.0397,0.0978,0.3889,0.7122
NW_006804188.1,3497,2988248,1559485,110,0.0799,0.0994,0.465,0.6773
NW_006804193.1,17829,2940863,1102132,108,0.0645,0.108,0.3257,0.5884
NW_006804194.1,1432,2977822,1562599,101,0.05,0.0837,0.3368,0.6749
NW_006804196.1,18159,2982246,1383927,102,0.0477,0.1034,0.4842,0.7398
NW_006804197.1,105390,3023889,1821122,100,0.0556,0.0816,0.4902,0.7576
NW_006804199.1,42281,2650599,1559370,110,0.0628,0.0934,0.3917,0.6714
